HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Urbs fortitúdinis nostræ Sion, Salvátor ponétur in ea murus et antemurále: aperíte portas, quia nobíscum Deus, allelúia. ;"Sion est la cité de notre force ; le sauveur sera en elle comme son mur et son avant mur : ouvrez les portes, car Dieu est avec nous, alléluia. "
ant2;Omnes sitiéntes, veníte ad aquas: quærite Dóminum dum inveníri potest, allelúia. ;O vous tous qui avez soif, venez aux eaux : cherchez le Seigneur alors qu'il peut se laisser trouver, alléluia. 
ant3;Ecce Dóminus noster cum virtúte véniet, ut illúminet óculos servórum suórum, allelúia.;Voici que notre Seigneur vient avec puissance, pour illuminer les yeux de ses serviteurs, alléluia.
LB_matin;LB_Rom 13, 11-12;
RB_matin;"R/. Christe, Fili Dei vivi, * Miserére nobis. Christe.
V/. Qui ventúrus es in mundum. * Miserére nobis. Glória Patri. Christe.";"R/. O Christ, fils du Dieu vivant, * aie pitié de nous. O Christ.
V/. Toi qui viens dans le monde. * Aie pitié de nous. Gloire au Père. O Christ."
benedictus;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_laudes;<i>Oratio propria</i>;<i>Oraison propre</i>
preces_matin;preces_XII;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;LB_Rom 13, 13-14a;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;;
LB_6;LB_1 Th 3, 12-13;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
oratio_6;;
LB_9;LB_2 Th 1, 6. 7. 10;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;;
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Ecce in núbibus cæli Dóminus véniet cum potestáte magna, allelúia. ;Voici que des nuées du ciel, le Seigneur vient avec grande puissance, alléluia. 
ant8;"Ecce apparébit Dóminus, et non mentiétur; si moram fécerit, exspécta eum quia véniet et non tardábit, allelúia. ";"Voici qu'apparaît le Seigneur, il ne décevera pas ; s'il se fait attendre, patientez cart il va venir sans retard, alléluia. "
ant9;Dóminus légifer noster, Dóminus rex noster: ipse véniet et salvábit nos. ;Le Seigneur est notre legislateur, le Seigneur est notre roi : lui-même viendra et nous sauvera. 
LB_soir;LB_Phil 4, 4-5;
RB_soir;"R/. Osténde nobis, Dómine, * Misericórdiam tuam. Osténde.
V/. Et salutáre tuum da nobis. * Misericórdiam tuam. Glória Patri. Osténde.";R/. Montre-nous, Seigneur, * Ta miséricorde. Montrenous. V/. Et donne-nous ton salut. * Ta miséricorde. Gloireau Père. Montre nous.
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>
preces_soir;preces_XIII;
