HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Gloriósa dicta sunt de te, cívitas Dei.;Des choses glorieuses sont dites de toi, cité de Dieu.
ant2;Dóminus in fortitúdine véniet, et merces eius cum eo.;Le Seigneur est venu dans sa force, et sa rétribution avec lui.
ant3;Exaltáte Dóminum Deum nostrum, et adoráte ad montem sanctum eius.;Exaltez le Seigneur Dieu, adorez-le sur sa montagne sainte.
LB_matin;LB_Is 45, 8;
RB_matin;"R/. Super te, Ierúsalem,* Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus. Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi.* se lève le Seigneur. Gloire au Père. Sur toi. "
benedictus;Consúrge, consúrge, indúere fortitúdinem, brácchium Dómini.;Réveille-toi, réveille-toi, revêts-toi de force, bras du Seigneur.
oratio_laudes;Indígnos, quæsumus, Dómine, nos fámulos tuos, quos actiónis própriæ culpa contrístat, Unigéniti tui advéntu salutári lætífica. Per Dóminum.;"Seigneur, nous sommes des serviteurs indignes de toi, et nous sentons avec tristesse tout le mal qui fausse notre vie ; donne-nous cependant de trouver notre joie dans la naissance de ton Fils, car il vient pour nous sauver."
preces_matin;preces_X;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;Indígnos, quæsumus, Dómine, nos fámulos tuos, quos actiónis própriæ culpa contrístat, Unigéniti tui advéntu salutári lætífica. Per Dóminum.;"Seigneur, nous sommes des serviteurs indignes de toi, et nous sentons avec tristesse tout le mal qui fausse notre vie ; donne-nous cependant de trouver notre joie dans la naissance de ton Fils, car il vient pour nous sauver."
LB_3;LB_Mic 5, 3 4a;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;;
LB_6;LB_Ag 2, 6b. 9;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour tonpeuple,
R/. Visite-nous avec ton secours."
oratio_6;Indígnos, quæsumus, Dómine, nos fámulos tuos, quos actiónis própriæ culpa contrístat, Unigéniti tui advéntu salutári lætífica. Per Dóminum.;"Seigneur, nous sommes des serviteurs indignes de toi, et nous sentons avec tristesse tout le mal qui fausse notre vie ; donne-nous cependant de trouver notre joie dans la naissance de ton Fils, car il vient pour nous sauver."
LB_9;LB_Mal 3, 20-21b;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Indígnos, quæsumus, Dómine, nos fámulos tuos, quos actiónis própriæ culpa contrístat, Unigéniti tui advéntu salutári lætífica. Per Dóminum.;"Seigneur, nous sommes des serviteurs indignes de toi, et nous sentons avec tristesse tout le mal qui fausse notre vie ; donne-nous cependant de trouver notre joie dans la naissance de ton Fils, car il vient pour nous sauver."
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Sancti tui exsúltent, Dómine, intrántes in tabernáculum tuum.;Tes saints exultent, Seigneur, en entrant sous ta tente.
ant8;Elégit Dóminus Sion in habitatiónem sibi.;Le Seigneur a choisi Sion pour demeure.
ant9;Dedit ei Dóminus potestátem et honórem et regnum, et omnes pópuli ipsi sérvient.;Il fut donné au Seigneur domination, gloire et règne, et tous les peuples, le servirent.
LB_soir;LB_Iac 5, 7-8. 9b;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* Dómine Deus virtútum. Glória Patri. Veni. ";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;Lætámini cum Ierúsalem, et exsultáte in ea, omnes qui dilígitis eam, in ætérnum.;Réjouissez-vous avec Jérusalem, et soyez dans l'allégresse à cause d'elle, vous tous qui l'aimez, dans l'éternité.
oratio_vesperas;Indígnos, quæsumus, Dómine, nos fámulos tuos, quos actiónis própriæ culpa contrístat, Unigéniti tui advéntu salutári lætífica. Per Dóminum.;"Seigneur, nous sommes des serviteurs indignes de toi, et nous sentons avec tristesse tout le mal qui fausse notre vie ; donne-nous cependant de trouver notre joie dans la naissance de ton Fils, car il vient pour nous sauver."
preces_soir;preces_XI;
