intitule;Sabbato ante 24 Decembris;Samedi avant le 24 Décembre
HYMNUS_laudes;hy_Magnis prophétæ;
ant1;Deus a Líbano véniet, et splendor eius sicut lumen erit. ;Dieu viendra du Liban, et sa splendeur sera comme la lumière.
ant2;"Roráte, cæli, désuper, et nubes pluant Iustum; aperiátur terra et gérminet Salvatórem. ";Epanchez, cieux, la rosée d'en haut, que les nues fassent pleuvoir le Juste que s'ouvre la terre et fasse germer le sauveur.
ant3;Parátus esto, Israel, in occúrsum Dómini, quóniam venit. ;Prépare-toi, Israël, pour sortir à la rencontre du Seigneur, car il vient.
HYMNUS_tertiam;hy_Certum tenéntes;
HYMNUS_sextam;hy_Dicámus laudes;
HYMNUS_nonam;hy_Ternis horárum;
HYMNUS_vesperas;hy_Verbum salútis;
ant7;Ecce véniet desiderátus cunctis géntibus, et replébitur glória domus Dómini, allelúia. ;Voici que va venir le Désiré de toutes les nations et la maison du Seigneur sera remplie de gloire. Alléluia.
ant8;"Veni, Dómine, et noli tardáre; reláxa facínora plebi tuæ, Israel. ";Venez, Seigneur, et ne tardez pas : absolvez de ses méfaits votre peuple.
ant9;Ecce iam venit plenitúdo témporis, in quo misit Deus Fílium suum in terras. ;Voici que vient désormais la plénitude du temps, où Dieu a envoyé son Fils sur la terre.
