HYMNUS_laudes;hy_Magnis prophétæ;
ant1;Cánite tuba in Sion, quia prope est dies Dómini: ecce véniet ad salvándum nos, allelúia. ;Sonnez de la trompette en Sion, car le jour du Seigneur est proche : voici qu'il vient pour nous sauver. Alléluia.
ant2;Dóminus véniet, occúrrite illi, dicéntes: Magnum princípium, et regni eius non erit finis: Deus fortis, Dominátor, Princeps pacis, allelúia.;Le Seigneur va venir, allez à sa rencontre en disant : grande souveraineté, et il n'y aura pas de fin à son rège ! Dieu, puissant souverain, prince de la paix ! Alléluia.
ant3;Omnípotens Sermo tuus, Dómine, a regálibus sédibus véniet, allelúia.;Votre Parole toute-puissante, Seigneur, est venue des demeures royales. Alléluia.
LB_matin;LB_Rom 13, 11-12;
RB_matin;"R/. Christe, Fili Dei vivi, * Miserére nobis. Christe.
V/. Qui ventúrus es in mundum. * Miserére nobis. Glória Patri. Christe.";"R/. O Christ, fils du Dieu vivant, * aie pitié de nous. O Christ.
V/. Toi qui viens dans le monde. * Aie pitié de nous. Gloire au Père. O Christ."
benedictus;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_laudes;Grátiam tuam, quæsumus, Dómine, méntibus nostris infúnde, ut qui, Angelo nuntiánte, Christi Fílii tui incarnatiónem cognóvimus, per passiónem eius et crucem ad resurrectiónis glóriam perducámur. Per Christum.;Daignez, Seigneur, répandre votre grâce dans nos âmes, afin qu'ayant connu par la voix de l'Ange l'Incarnation de Votre Fils Jésus Christ, nous puissions parvenir par sa Passion et par sa Croix, à la gloire de sa Résurrection.
preces_matin;preces_II;
HYMNUS_tertiam;hy_Certum tenéntes;
HYMNUS_sextam;hy_Dicámus laudes;
HYMNUS_nonam;hy_Ternis horárum;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;LB_Rom 13, 13-14a;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Grátiam tuam, quæsumus, Dómine, méntibus nostris infúnde, ut qui, Angelo nuntiánte, Christi Fílii tui incarnatiónem cognóvimus, per passiónem eius et crucem ad resurrectiónis glóriam perducámur. Per Christum.;Daignez, Seigneur, répandre votre grâce dans nos âmes, afin qu'ayant connu par la voix de l'Ange l'Incarnation de Votre Fils Jésus Christ, nous puissions parvenir par sa Passion et par sa Croix, à la gloire de sa Résurrection.
LB_6;LB_1 Th 3, 12-13;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
oratio_6;Grátiam tuam, quæsumus, Dómine, méntibus nostris infúnde, ut qui, Angelo nuntiánte, Christi Fílii tui incarnatiónem cognóvimus, per passiónem eius et crucem ad resurrectiónis glóriam perducámur. Per Christum.;Daignez, Seigneur, répandre votre grâce dans nos âmes, afin qu'ayant connu par la voix de l'Ange l'Incarnation de Votre Fils Jésus Christ, nous puissions parvenir par sa Passion et par sa Croix, à la gloire de sa Résurrection.
LB_9;LB_2 Th 1, 6. 7. 10;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Grátiam tuam, quæsumus, Dómine, méntibus nostris infúnde, ut qui, Angelo nuntiánte, Christi Fílii tui incarnatiónem cognóvimus, per passiónem eius et crucem ad resurrectiónis glóriam perducámur. Per Christum.;Daignez, Seigneur, répandre votre grâce dans nos âmes, afin qu'ayant connu par la voix de l'Ange l'Incarnation de Votre Fils Jésus Christ, nous puissions parvenir par sa Passion et par sa Croix, à la gloire de sa Résurrection.
HYMNUS_vesperas;hy_Verbum salútis;
ant7;Intuémini quam gloriósus sit iste, qui ingréditur ad salvándos pópulos. ;Regardez comme il est grand, plein de gloire celui qui fait son entrée pour sauver les peuples.
ant8;Erunt prava in dirécta et áspera in vias planas. Veni, Dómine, et noli tardáre, allelúia. ;Les passages tortueux seront en lignes droites, et les rocailleux, en routes aplanies : venez, Seigneur, et ne tardez pas. Alléluia.
ant9;Multiplicábitur eius impérium, et pacis non erit finis, allelúia. ;Son pouvoir s’étendra, et à sa paix il n’y aura pas de fin. Alléluia.
LB_soir;LB_Phil 4, 4-5;
RB_soir;"R/. Osténde nobis, Dómine, * Misericórdiam tuam. Osténde.
V/. Et salutáre tuum da nobis. * Misericórdiam tuam. Glória Patri. Osténde.";"R/. Montre-nous, Seigneur, * Ta miséricorde. Montre nous.
V/. Et donne-nous ton salut. * Ta miséricorde. Gloireau Père. Montre nous."
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>
oratio_vesperas;Grátiam tuam, quæsumus, Dómine, méntibus nostris infúnde, ut qui, Angelo nuntiánte, Christi Fílii tui incarnatiónem cognóvimus, per passiónem eius et crucem ad resurrectiónis glóriam perducámur. Per Christum.;Daignez, Seigneur, répandre votre grâce dans nos âmes, afin qu'ayant connu par la voix de l'Ange l'Incarnation de Votre Fils Jésus Christ, nous puissions parvenir par sa Passion et par sa Croix, à la gloire de sa Résurrection.
preces_soir;preces_III;
