HYMNUS_laudes;hy_Magnis prophétæ;
ant1;"Ecce véniet Dóminus, princeps regum terræ; beáti qui paráti sunt occúrrere illi.";Voici que va venir le Seigneur souverain des rois de la terre, bienheureux ceux qui sont prêts à courir à sa rencontre.
ant2;"Cantáte Dómino cánticum novum; laus eius ab extrémis terræ.";Chantez au Seigneur un cantique nouveau sa louange vient des extrémités de la terre.
ant3;Dum vénerit Fílius hóminis, putas, invéniet fidem super terram?;Quand le Fils de l'homme viendra, pensez-vous qu'il trouvera la foi sur la terre ?
HYMNUS_tertiam;hy_Certum tenéntes;
HYMNUS_sextam;hy_Dicámus laudes;
HYMNUS_nonam;hy_Ternis horárum;
HYMNUS_vesperas;hy_Verbum salútis;
ant7;"Ecce véniet Dóminus, princeps regum terræ; beáti qui paráti sunt occúrrere illi.";Voici que va venir le Seigneur souverain des rois de la terre, bienheureux ceux qui sont prêts à courir à sa rencontre.
ant8;"Cantáte Dómino cánticum novum; laus eius ab extrémis terræ.";Chantez au Seigneur un cantique nouveau sa louange vient des extrémités de la terre.
ant9;Dum vénerit Fílius hóminis, putas, invéniet fidem super terram?;Quand le Fils de l'homme viendra, pensez-vous qu'il trouvera la foi sur la terre ?
