HYMNUS_laudes;hy_En acétum, fel, arúndo;;
ant1;In die tribulatiónis meæ Deum exquisívi mánibus meis.;"Au jour de ma détresse, je cherche le Seigneur; mes mains sont étendues.";Ps 76,3
ant2;Si mórtui sumus cum Christo, crédimus quia simul étiam vivémus cum Christo.;Si nous sommes morts avec le Christ, nous croyons que nous vivrons avec le Christ;Rm 6,8
ant3;Christus Iesus factus est nobis sapiéntia a Deo, et iustítia et sanctificátio et redémptio.;Le Christ Jésus a été fait pour nous sagesse, et justice, et sanctification, et rédemption.;1 Cor 1,30
LB_matin;LB_Is 50, 5-7;;
RB_matin;"R/. Redemísti nos, Dómine, * In sánguine tuo. Redemísti. 
V/. Ex omni tribu et lingua et pópulo et natióne.* In sánguine tuo. Glória Patri. Redemísti.";"R/. Tu nous as rachetés, Seigneur, * dans ton sang. Tu nous as rachetés. 
V/. De toute tribu, langue et nation.* Dans ton sang. Gloire au Père. Tu nous as rachetés.";
benedictus;Sanguis Christi, qui per Spíritum Sanctum óbtulit semetípsum immaculátum Deo, emúndat consciéntiam nostram ab opéribus mórtuis ad serviéndum Deo vivénti.;Le sang du Christ qui, par l'Esprit éternel, s'est offert lui-même sans tache à Dieu, purifiera notre conscience des oeuvres mortes, pour servir le Dieu vivant.;Hbr 9,14
preces_matin;preces_XIII;;
oratio_laudes;Deus, qui pro nobis Fílium tuum crucis patíbulum subíre voluísti, ut inimíci a nobis expélleres potestátem, concéde nobis fámulis tuis, ut resurrectiónis grátiam consequámur. Per Dóminum.;O Dieu qui as voulu que ton Fils souffrît pour nous le supplice de la croix afin de nous délivrer de la puissance de l'ennemi, accorde-nous, à nous qui sommes tes serviteurs, la grâce de parvenir à la résurrection.;
HYMNUS_tertiam;hy_Celsæ salútis gáudia;;
HYMNUS_sextam;hy_Celsæ salútis gáudia;;
HYMNUS_nonam;hy_Celsæ salútis gáudia;;
ant4;Ante diem festum Paschæ, sciens Iesus quia venit hora eius, cum dilexísset suos, in finem diléxit eos.;Avant la fête de Pâque, Jésus, sachant que son heure était venue, après avoir aimé les siens, les aima jusqu'à la fin. ;Jn 13,1
