intitule;FERIA II POST DOMINICAM EPIPHANIÆ;LUNDI APRÈS L’ÉPIPHANIE
HYMNUS_laudes;hy_Quicúmque Christum quæritis;
ant1;Quando véniam et apparébo ante fáciem Dómini? ;Quand viendrai-je et apparaîtrai-je devant ta face, Seigneur ?
ant2;Osténde nobis, Dómine, lucem miseratiónum tuárum. ;Montre nous, Seigneur, la lumière de ta miséricorde.
ant3;Benedíctus es, Dómine, in firmaménto cæli. ;Béni êtes-vous, Seigneur, dans le firmament du ciel.
LB_matin;LB_Is 9, 5;
RB_matin;"R/. Adorábunt eum * Omnes reges terræ. Adorábunt.
V/. Omnes gentes sérvient ei. * Omnes reges terræ. Glória Patri. Adorábunt.";"R/. Ils se prosterneront devant lui, * tous les rois de la terre. Ils se prosterneront. 
V/. Toutes les nations le serviront. * tous les rois de la terre. Gloire au Père. Ils se prosterneront.."
benedictus;Ab Oriénte venérunt magi in Béthlehem adoráre Dóminum, et apértis thesáuris suis pretiósa múnera obtulérunt: aurum sicut Regi magno, tus sicut Deo vero, myrrham sepultúræ eius, allelúia. ;"Des Mages vinrent d'Orient à Bethleem pour adorer le Seigneur, et, ouvrant leurs trésors, ils lui offrirent de précieux présents : de l’or, comme au grand Roi ; de l’encens, comme au vrai Dieu ; de la myrrhe, pour sa sépulture."
oratio_laudes;Corda nostra, quæsumus, Dómine, tuæ maiestátis splendor illústret, quo per mundi huius ténebras transíre valeámus, et perveniámus ad pátriam claritátis ætérnæ. Per Dóminum.;"Seigneur, nous t'en prions, que l'éclat de ta magnificence illumine nos c&oelig;urs, afin que soyons fortifiés pour passer à travers les ténèbres de ce monde, et que nous puissions parvenir à la patrie de la clarté éternelle."
preces_matin;preces_IV;
HYMNUS_tertiam;hy_Certum tenéntes;
HYMNUS_sextam;hy_Dicámus laudes;
HYMNUS_nonam;hy_Ternis horárum;
ant4;Mystérium, quod abscónditum fuit a sæculis et generatiónibus, nunc manifestátum est. ;Ce mystère est resté caché depuis les siècles et les générations et qui vient d'être manifesté.
ant5;Véniens Christus evangelizávit pacem vobis, qui longe fuístis, et pacem iis qui prope erant. ;Le Christ est venu proclamer la paix, paix pour vous qui étiez loin et paix pour ceux qui étaient proches.
ant6;Ecce dedi te in lucem géntium, ut sis salus mea usque ad extrémum terræ. ;Voici que je t'ai donné pour lumière des nations, afin que tu sois mon salut jusqu'à l'extrémité de la terre.
LB_3;LB_Deut 4, 7;
RB_3;"V/. In terris visus est.
R/. Et cum homínibus conversátus est.";"V/. il est apparu sur terre. 
R/. et il a vécue parmi les hommes."
oratio_3;Corda nostra, quæsumus, Dómine, tuæ maiestátis splendor illústret, quo per mundi huius ténebras transíre valeámus, et perveniámus ad pátriam claritátis ætérnæ. Per Dóminum.;"Seigneur, nous t'en prions, que l'éclat de ta magnificence illumine nos c&oelig;urs, afin que soyons fortifiés pour passer à travers les ténèbres de ce monde, et que nous puissions parvenir à la patrie de la clarté éternelle."
LB_6;LB_Is 12, 5-6;
RB_6;"V/. Vidébunt gentes iustum tuum.
R/. Et cuncti reges ínclitum tuum.";"V/. Les nations verront ta justice. 
R/. Et tous les rois ta gloire."
oratio_6;Corda nostra, quæsumus, Dómine, tuæ maiestátis splendor illústret, quo per mundi huius ténebras transíre valeámus, et perveniámus ad pátriam claritátis ætérnæ. Per Dóminum.;"Seigneur, nous t'en prions, que l'éclat de ta magnificence illumine nos c&oelig;urs, afin que soyons fortifiés pour passer à travers les ténèbres de ce monde, et que nous puissions parvenir à la patrie de la clarté éternelle."
LB_9;LB_Cf. Tob 14, 6-7;
RB_9;"V/. Benedícite, gentes, Deum nostrum.
R/. Et audítam fácite vocem laudis eius.";"V/. Peuples bénissez notre Dieu
R/. Et donnez une voix à sa louange."
oratio_9;Corda nostra, quæsumus, Dómine, tuæ maiestátis splendor illústret, quo per mundi huius ténebras transíre valeámus, et perveniámus ad pátriam claritátis ætérnæ. Per Dóminum.;"Seigneur, nous t'en prions, que l'éclat de ta magnificence illumine nos c&oelig;urs, afin que soyons fortifiés pour passer à travers les ténèbres de ce monde, et que nous puissions parvenir à la patrie de la clarté éternelle."
HYMNUS_vesperas;hy_Hostis Heródes ímpie;
ant7;Speciósus forma præ fíliis hóminum, diffúsa est grátia in lábiis tuis. ;Tu es le plus beau des enfants des hommes, la grâce est répandue sur tes lèvres.
ant8;Ecce Sponsus venit: exíte óbviam ei. ;Voici l’époux, sortez à sa rencontre.
ant9;Propósuit Deus in plenitúdine témporum instauráre ómnia in Christo. ;Dieu a prévu qu’à la fin des temps, tout sera itinstauré dans le Christ.
LB_soir;LB_Cf. 2 Petr 1, 3-4;
RB_soir;"R/. Benedicéntur in ipso * Omnes tribus terræ. Benedicéntur.
V/. Omnes gentes magnificábunt eum. * Omnes tribus terræ. Glória Patri. Benedicéntur.";"R/. Bénies seront en lui * toutes les races de la terre. Bénies. 
V/. Que toutes les nations le proclament heureux ! * toutes les races de la terre. Gloire au Père. Bénies."
magnificat;"Vidéntes stellam, magi gavísi sunt gáudio magno; et intrántes domum, obtulérunt Dómino aurum, tus et myrrham. ";Voyant l’étoile, les Mages se réjouirent d’une grande joie : et entrant dans la maison, ils offrirent au Seigneur l’or, l’encens et la myrrhe.
oratio_vesperas;Corda nostra, quæsumus, Dómine, tuæ maiestátis splendor illústret, quo per mundi huius ténebras transíre valeámus, et perveniámus ad pátriam claritátis ætérnæ. Per Dóminum.;"Seigneur, nous t'en prions, que l'éclat de ta magnificence illumine nos c&oelig;urs, afin que soyons fortifiés pour passer à travers les ténèbres de ce monde, et que nous puissions parvenir à la patrie de la clarté éternelle."
preces_soir;preces_V;
