intitule;FERIA VI POST DOMINICAM EPIPHANIÆ;VENDREDI APRÈS L'’ÉPIPHANIE
HYMNUS_laudes;hy_Quicúmque Christum quæritis;
ant1;Annuntiámus mane misericórdiam tuam, Dómine, et veritátem tuam per noctem.;Le matin, annonçons ta miséricorde, Seigneur, et ta vérité pendant la nuit.
ant2;Date magnificéntiam Deo nostro.;Procurez de la magnificence à notre Dieu.
ant3;Quam admirábile est nomen tuum, Dómine, in univérsa terra.;Combien est admirable ton nom, Seigneur, sur toute la terre.
LB_matin;LB_Sap 7, 26-27;
RB_matin;"R/. Adorábunt eum * Omnes reges terræ. Adorábunt.
V/. Omnes gentes sérvient ei. * Omnes reges terræ. Glória Patri. Adorábunt.";"R/. Ils se prosterneront devant lui, * tous les rois de la terre. Ils se prosterneront. 
V/. Toutes les nations le serviront. * tous les rois de la terre. Gloire au Père. Ils se prosterneront.."
benedictus;Hoc fecit inítium signórum Iesus in Cana Galilææ, et manifestávit glóriam suam.;Tel fut, à Cana de Galilée, le premier des miracles que fit Jésus, et il manifesta sa gloire.
oratio_laudes;Omnípotens sempitérne Deus, qui per Unigénitum tuum novam creatúram nos tibi esse fecísti, præsta, quæsumus, ut per grátiam tuam in illíus inveniámur forma, in quo tecum est nostra substántia. Per Dóminum.;"Dieu éternel et tout-puissant, tu as voulu que , dans ton Fils unique, nous devenions pour toi de nouvelles créatures ; que ta grâce nous modèle à l'image du Christ en qui notre nature est unie à la tienne."
preces_matin;preces_XIV;
HYMNUS_tertiam;hy_Certum tenéntes;
HYMNUS_sextam;hy_Dicámus laudes;
HYMNUS_nonam;hy_Ternis horárum;
ant4;Mystérium, quod abscónditum fuit a sæculis et generatiónibus, nunc manifestátum est. ;Ce mystère est resté caché depuis les siècles et les générations et qui vient d'être manifesté.
ant5;Véniens Christus evangelizávit pacem vobis, qui longe fuístis, et pacem iis qui prope erant. ;Le Christ est venu proclamer la paix, paix pour vous qui étiez loin et paix pour ceux qui étaient proches.
ant6;Ecce dedi te in lucem géntium, ut sis salus mea usque ad extrémum terræ. ;Voici que je t'ai donné pour lumière des nations, afin que tu sois mon salut jusqu'à l'extrémité de la terre.
LB_3;LB_Ez 20, 41-42a;
RB_3;"V/. In terris visus est.
R/. Et cum homínibus conversátus est.";"V/. il est apparu sur terre. 
R/. et il a vécue parmi les hommes."
oratio_3;Omnípotens sempitérne Deus, qui per Unigénitum tuum novam creatúram nos tibi esse fecísti, præsta, quæsumus, ut per grátiam tuam in illíus inveniámur forma, in quo tecum est nostra substántia. Per Dóminum.;"Dieu éternel et tout-puissant, tu as voulu que , dans ton Fils unique, nous devenions pour toi de nouvelles créatures ; que ta grâce nous modèle à l'image du Christ en qui notre nature est unie à la tienne."
LB_6;LB_Ez 34, 11-12;
RB_6;"V/. Vidébunt gentes iustum tuum.
R/. Et cuncti reges ínclitum tuum.";"V/. Les nations verront ta justice. 
R/. Et tous les rois ta gloire."
oratio_6;Omnípotens sempitérne Deus, qui per Unigénitum tuum novam creatúram nos tibi esse fecísti, præsta, quæsumus, ut per grátiam tuam in illíus inveniámur forma, in quo tecum est nostra substántia. Per Dóminum.;"Dieu éternel et tout-puissant, tu as voulu que , dans ton Fils unique, nous devenions pour toi de nouvelles créatures ; que ta grâce nous modèle à l'image du Christ en qui notre nature est unie à la tienne."
LB_9;LB_Mic 2, 12;
RB_9;"V/. Benedícite, gentes, Deum nostrum.
R/. Et audítam fácite vocem laudis eius.";"V/. Peuples bénissez notre Dieu
R/. Et donnez une voix à sa louange."
oratio_9;Omnípotens sempitérne Deus, qui per Unigénitum tuum novam creatúram nos tibi esse fecísti, præsta, quæsumus, ut per grátiam tuam in illíus inveniámur forma, in quo tecum est nostra substántia. Per Dóminum.;"Dieu éternel et tout-puissant, tu as voulu que , dans ton Fils unique, nous devenions pour toi de nouvelles créatures ; que ta grâce nous modèle à l'image du Christ en qui notre nature est unie à la tienne."
