HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Sicut cervus ad fontes aquárum, desíderat ánima mea ad te, Deus, allelúia.;Comme le cerf soupire après les sources d'eau,  ainsi mon âme soupire après toi, ô Dieu. Alléluia.;Ps XLII 2
ant2;Reple Sion, Dómine, verbis tuis, ut narréntur magnália tua, allelúia.;Tu remplis Sion, Seigneur, de ta Parole, pour que tes hauts faits te soient contés, alléluia.;Cf. Sirac
ant3;Cláritas Dei illúminat civitátem, et lucérna eius est Agnus, allelúia.;La gloire de Dieu l'illumine, et l'Agneau est son flambeau, alléluia.;Ap XXI 23
LB_matin;LB_Rom 10, 8b-10;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Amen, amen dico vobis: Nisi quis natus fúerit dénuo, non potest vidére regnum Dei, allelúia.;En vérité, en vérité, je te le dis, nul, s'il ne naît de nouveau, ne peut voir le royaume  de Dieu, alléluia;Jean III 3
preces_matin;preces_IX;;
oratio_laudes;Omnípotens sempitérne Deus, quem patérno nómine invocáre præsúmimus, pérfice in córdibus nostris spíritum adoptiónis filiórum, ut promíssam hereditátem íngredi mereámur. Per Dóminum.;Dieu éternel et tout-puissant, dont nous sommes fiers d’invoquer le nom paternel, achève en nos cœurs l’esprit d’adoption de tes fils pour que nous méritions d’entrer dans l’héritage qui nous est promis.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Allelúia, allelúia, allelúia.;
ant5;Allelúia, allelúia, allelúia.;Allelúia, allelúia, allelúia.;
ant6;Allelúia, allelúia, allelúia.;Allelúia, allelúia, allelúia.;
LB_3;LB_Ap 1, 17c-18;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";
oratio_3;Omnípotens sempitérne Deus, quem patérno nómine invocáre præsúmimus, pérfice in córdibus nostris spíritum adoptiónis filiórum, ut promíssam hereditátem íngredi mereámur. Per Dóminum.;Dieu éternel et tout-puissant, dont nous sommes fiers d’invoquer le nom paternel, achève en nos cœurs l’esprit d’adoption de tes fils pour que nous méritions d’entrer dans l’héritage qui nous est promis.;
LB_6;LB_Col 2, 9. 10a. 12;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent dans la joie, alléluia. 
R/. En voyant le Seigneur, alléluia.";
oratio_6;Omnípotens sempitérne Deus, quem patérno nómine invocáre præsúmimus, pérfice in córdibus nostris spíritum adoptiónis filiórum, ut promíssam hereditátem íngredi mereámur. Per Dóminum.;Dieu éternel et tout-puissant, dont nous sommes fiers d’invoquer le nom paternel, achève en nos cœurs l’esprit d’adoption de tes fils pour que nous méritions d’entrer dans l’héritage qui nous est promis.;
LB_9;LB_2 Tim 2, 8. 11;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia. 
R/. Car le soir tombe, alléluia.";
oratio_9;Omnípotens sempitérne Deus, quem patérno nómine invocáre præsúmimus, pérfice in córdibus nostris spíritum adoptiónis filiórum, ut promíssam hereditátem íngredi mereámur. Per Dóminum.;Dieu éternel et tout-puissant, dont nous sommes fiers d’invoquer le nom paternel, achève en nos cœurs l’esprit d’adoption de tes fils pour que nous méritions d’entrer dans l’héritage qui nous est promis.;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Benedíctus qui venit in nómine Dómini, allelúia.;Béni soit celui qui vient au nom du Seigneur. Alléluia.;Ts Evangiles, entrée à Jérusalem
ant8;Beáti qui ad cenam nuptiárum Agni vocáti sunt, allelúia.;Heureux ceux qui sont invités au festin des noces de l'Agneau, alléluia;Ap XIX 9
ant9;De plenitúdine eius omnes nos accépimus, et grátiam pro grátia, allelúia.;De sa plénitude, que nous avons tous reçu, et grâce sur grâce,alléluia.;Jean I 16
LB_soir;LB_Hebr 8, 1b-3a;;
RB_soir;"R/. Gavísi sunt discípuli, * Allelúia, allelúia. Gavísi. 
V/. Viso Dómino. * Allelúia, allelúia. Glória Patri. Gavísi.";"R/. Les disciples furent emplis de joie, * Alléluia, alleluia. Les disciples. 
V/. En voyant le Seigneur. * Alléluia, alléluia. Gloire au Père. Les disciples.";Jean XX 20
magnificat;"Quod natum est ex carne, caro est; et quod natum est ex Spíritu, Spíritus est, allelúia.";Car ce qui est né de la chair est chair, et ce qui est né de l'Esprit est esprit, alléluia.;Jean III 6
oratio_vesperas;Omnípotens sempitérne Deus, quem patérno nómine invocáre præsúmimus, pérfice in córdibus nostris spíritum adoptiónis filiórum, ut promíssam hereditátem íngredi mereámur. Per Dóminum.;Dieu éternel et tout-puissant, dont nous sommes fiers d’invoquer le nom paternel, achève en nos cœurs l’esprit d’adoption de tes fils pour que nous méritions d’entrer dans l’héritage qui nous est promis.;
preces_soir;preces_X
