HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Exaltáre super omnes cælos, Deus, allelúia.;Elève-toi au-dessus de tous les cieux, ô Dieu, alléluia.;Ps LVII 6
ant2;Dóminus germinávit iustítiam et laudem coram univérsis géntibus, allelúia.;Le Seigneur fera germer la justice, et la louange devant toutes les nations, alléluia.;Is LXI 11
ant3;Regnábit Dóminus in sæcula, Deus tuus, Sion, Allelúia.;Le Seigneur est roi pour l'éternité, ton Dieu, ô Sion, alléluia.;Ps CXLVI 10
LB_matin;LB_Rom 6, 8-11;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Ego lux in mundum veni, ut omnis qui credit in me in ténebris non máneat, dicit Dóminus, allelúia.;Je suis venu dans le monde comme une lumière, afin que celui qui croit en moi ne  demeure pas dans les ténèbres, adit le Seingeur, alléluia.;Jn XII 46
preces_matin;preces_XIII;;
oratio_laudes;Deus, vita fidélium, glória humílium, beatitúdo iustórum, ad preces súpplicum benígnus inténde, ut, qui promíssa tuæ sítiunt largitátis, de tua semper abundántia repleántur. Per Dóminum.;Ô Dieu, vie de ceux qui sont fidèles, gloire des humbles, béatitude des justes, écoute avec bienveillance les prières de ceux qui te supplient, afin que ceux qui ont soif de tes promesses soient toujours comblés par ton abondance.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Rom 4, 24-25;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia.
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Deus, vita fidélium, glória humílium, beatitúdo iustórum, ad preces súpplicum benígnus inténde, ut, qui promíssa tuæ sítiunt largitátis, de tua semper abundántia repleántur. Per Dóminum.;Ô Dieu, vie de ceux qui sont fidèles, gloire des humbles, béatitude des justes, écoute avec bienveillance les prières de ceux qui te supplient, afin que ceux qui ont soif de tes promesses soient toujours comblés par ton abondance.;
LB_6;LB_1 Io 5, 5-6a;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent remplis de joie, alléluia.
R/. En voyant le  Seigneur, alléluia.";Jean XX 20
oratio_6;Deus, vita fidélium, glória humílium, beatitúdo iustórum, ad preces súpplicum benígnus inténde, ut, qui promíssa tuæ sítiunt largitátis, de tua semper abundántia repleántur. Per Dóminum.;Ô Dieu, vie de ceux qui sont fidèles, gloire des humbles, béatitude des justes, écoute avec bienveillance les prières de ceux qui te supplient, afin que ceux qui ont soif de tes promesses soient toujours comblés par ton abondance.;
LB_9;LB_Eph 4, 23-24;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia.
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Deus, vita fidélium, glória humílium, beatitúdo iustórum, ad preces súpplicum benígnus inténde, ut, qui promíssa tuæ sítiunt largitátis, de tua semper abundántia repleántur. Per Dóminum.;Ô Dieu, vie de ceux qui sont fidèles, gloire des humbles, béatitude des justes, écoute avec bienveillance les prières de ceux qui te supplient, afin que ceux qui ont soif de tes promesses soient toujours comblés par ton abondance.;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Nox sicut dies illuminábitur, allelúia.;La nuit brille comme le jour, alléluia.;Ps CXXXIX 12
ant8;Ego cognósco oves meas, et cognóscunt me meæ, allelúia.;Je connais mes brebis et elles me connaissent, alléluia.;Jn X 14
ant9;Opéruit cælos glória eius, et laudis eius plena est terra, allelúia.;Sa majesté a couvert les cieux, et la terre a été remplie de sa gloire, alléluia.;Ha III 3
LB_soir;LB_Hebr 7, 24-27;;
RB_soir;"R/. Gavísi sunt discípuli, *Allelúia, allelúia. Gavísi. 
V/. Viso Dómino. * Allelúia, allelúia. Glória Patri. Gavísi.";"R/. Les disciples furent emplis de joie, *Alléluia, alléluia. Les disciples. 
V/. En voyant le Seigneur. * Alléluia, alléluia. Gloire au Père. Les disciples.";Jean XX 20
magnificat;Non misit Deus Fílium suum in mundum, ut iúdicet mundum, sed ut salvétur mundus per ipsum, allelúia.;Car Dieu n'a pas envoyé le Fils dans le monde pour juger le monde, mais pour que le monde soit sauvé  par lui, alléluia.;Jn III 17
oratio_vesperas;Deus, vita fidélium, glória humílium, beatitúdo iustórum, ad preces súpplicum benígnus inténde, ut, qui promíssa tuæ sítiunt largitátis, de tua semper abundántia repleántur. Per Dóminum.;Ô Dieu, vie de ceux qui sont fidèles, gloire des humbles, béatitude des justes, écoute avec bienveillance les prières de ceux qui te supplient, afin que ceux qui ont soif de tes promesses soient toujours comblés par ton abondance.;
preces_soir;preces_XIV
