HYMNUS_laudes;hy_Optátus votis ómnium;;
ant1;Delectásti me, Dómine, et in opéribus mánuum tuárum exsultábo, allelúia.;Tu me réjouis, Seigneur, et je tressaille devant les ouvrages de tes mains, alléluia.;Ps 91,5
ant2;"Ego occídam et vívere fáciam; percútiam et ego sanábo, allelúia.";"C'est moi qui fais mourir et qui fais vivre; j'ai blessé, et c'est moi qui guérirai, alléluia.";Dt 32,39
ant3;Glória et honóre coronásti Christum tuum, allelúia.;Tu as couronné ton Christ de gloire et d'honneur, alléluia.;Hbr 2,7, Ps 8,6
LB_matin;LB_Rom 14, 7-9;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Amen, amen dico vobis: Si quid petiéritis Patrem in nómine meo, dabit vobis allelúia.;En vérité, en vérité je vous le dis, tout ce que vous  demanderez à mon Père, il vous le donnera en mon nom, alléluia.;Jn XVI 23
preces_matin;preces_XIII;;
oratio_laudes;Deus, cuius Fílius, ad cælos ascéndens, Apóstolis Sanctum Spíritum dignátus est pollicéri, præsta, quæsumus, ut, sicut illi multifária doctrínæ cæléstis múnera percepérunt, ita nobis quoque spiritália dona concédas. Per Dóminum.;;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Allelúia, allelúia, allelúia.;
ant5;Allelúia, allelúia, allelúia.;Allelúia, allelúia, allelúia.;
ant6;Allelúia, allelúia, allelúia.;Allelúia, allelúia, allelúia.;
LB_3;LB_Rom 5, 10-11;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Deus, cuius Fílius, ad cælos ascéndens, Apóstolis Sanctum Spíritum dignátus est pollicéri, præsta, quæsumus, ut, sicut illi multifária doctrínæ cæléstis múnera percepérunt, ita nobis quoque spiritália dona concédas. Per Dóminum.;;
LB_6;LB_1 Cor 15, 20-22;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent dans la joie, alléluia. 
R/. En voyant le Seigneur, alléluia.";Jean XX 20
oratio_6;Deus, cuius Fílius, ad cælos ascéndens, Apóstolis Sanctum Spíritum dignátus est pollicéri, præsta, quæsumus, ut, sicut illi multifária doctrínæ cæléstis múnera percepérunt, ita nobis quoque spiritália dona concédas. Per Dóminum.;;
LB_9;LB_2 Cor 5, 14-15;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia. 
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Deus, cuius Fílius, ad cælos ascéndens, Apóstolis Sanctum Spíritum dignátus est pollicéri, præsta, quæsumus, ut, sicut illi multifária doctrínæ cæléstis múnera percepérunt, ita nobis quoque spiritália dona concédas. Per Dóminum.;;
HYMNUS_vesperas;hy_Veni, creátor Spíritus,;;
ant7;Excélsus super omnes cælos Deus, suscitávit a terra ínopem, allelúia.;Exalté au dessus de tous les cieux, Dieu a relevé le malheureux de la poussière, alléluia.;
ant8;Dirupísti, Dómine, víncula mea: tibi sacrificábo hóstiam laudis, allelúia.;Tu as rompu, Seigneur, mes liens : à toi j'offrirai le sacrifice de louange, alléluia.;
ant9;Fílius Dei dídicit ex iis quæ passus est oboediéntiam, et factus est ómnibus obtemperántibus sibi causa salútis ætérnæ, allelúia.;"Le Fils de Dieu, par ses propres souffrances, a appris ce que c'est qu'obéir; et il sauve à jamais tous ceux qui lui obéissent, alléluia.";Hebr 5,8
LB_soir;LB_1 Petr 2, 9-10;;
RB_soir;"R/. Spíritus Paráclitus, * Allelúia, allelúia. Spíritus.
V/. Docébit vos ómnia. * Allelúia, allelúia. Glória Patri. Spíritus.";"R/. L'Esprit Paraclet, * Alléluia, alléluia. L'Esprit.
V/. Vous enseignera toutes choses. * Alléluia, alléluia. Gloire au Père. L'Esprit.";
magnificat;<i>Antiphona propria.</i>;<i>Antienne propre</i>;
oratio_vesperas;<i>Oratio propria</i>;<i>Oraison propre</i>;
preces_soir;preces_I
