HYMNUS_laudes;hy_Optátus votis ómnium;;
ant1;Amplius lava me, Dómine, ab iniustítia mea, allelúia.;Lave-moi complètement, Seigneur, de mon iniquité, alléluia.;Ps LI 4
ant2;Christus peccáta nostra pértulit in córpore suo super lignum, allelúia.;Le Christ a porté nos péchés en son corps sur le bois, alléluia.;1 P II 24
ant3;Introíte in conspéctu Dómini in exsultatióne, allelúia.;Venez en présence du Seigneur avec allégresse, alléluia.;Ps C 2
LB_matin;LB_Act 5, 30-32;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Christus Iesus mórtuus est et resurréxit, qui est ad déxteram Dei, semper vivens ad interpellándum pro nobis, allelúia.;Le Christ Jésus est mort et ressucité, il est à la droite de Dieu, puisqu'il est toujours vivant pour intercéder en notre faveur, alléluia.;Cf. 1 Th IV 14 et He VII 25
preces_matin;preces_XVII;;
oratio_laudes;Deus, qui nobis æternitátis áditum glorificatióne Christi tui et Sancti Spíritus illuminatióne reserásti, concéde, quæsumus, ut, tanti doni párticeps, devótio nostra profíciat, et ad fídei transferámur augméntum. Per Dóminum.;Ô Dieu, qui nous as ouvert l’accès à l’éternité par la glorification du Christ et par l’illumination du Saint Esprit, accorde-nous, nous t’en supplions, qu’étant participants d’un si grand don, notre dévotion fasse des progrès, et que nous soyons amenés à un accroissement de foi.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Act 2, 32. 36;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
