HYMNUS_laudes;hy_Pergráta mundo núntiat;
ant1;Innocens mánibus et mundo corde ascéndet in montem Dómini.;L’innocent aux mains et au cœur purs gravira la montagne du Seigneur.
ant2;Exaltáte Regem sæculórum in opéribus vestris.;Exaltez le Roi des siècles par vos oeuvres.
ant3;Rectos decet collaudátio.;Aux hommes droits sied la louange.
LB_matin;LB_Rom 13, 11b. 12-13a;
RB_matin;"R/. Deus meus, adiútor meus,  * Et sperábo in eum. Deus meus. 
V/. Refúgium meum et liberátor meus.  * Et sperábo in eum. Glória Patri. Deus meus.";"R/. Mon Dieu, tu es mon secours, et j’espère en toi. Mon Dieu.
V/. Tu es mon refuge et mon libérateur. Gloire u Père. Mon Dieu."
benedictus;Eréxit nobis Dóminus cornu salútis, sicut locútus est per os prophetárum suórum.;Le Seigneur a érigé pour nous la corne du salut, comme il l’avait dit par la bouche de ses prophètes.
preces_matin;preces_XI;
oratio_laudes;Matutína súpplicum vota, Dómine, propítius intuére, et occúlta cordis nostri remédio tuæ clarífica pietátis, ut desidéria tenebrósa non téneant, quos lux cæléstis grátiæ reparávit. Per Dóminum.;Nos demandes suppliantes du matin, Seigneur, regarde-les avec bienveillance, et  de ……….. Pour que des désirs de ténèbres ne tiennent pas ceux que la lumière de la grâce céleste a restaurés.
HYMNUS_tertiam;hy_Nunc_Sancte_nobis_Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Beáti qui ámbulant in lege Dómini.;Heureux ceux qui marchent dans la loi du Seigneur.
ant5;Exsultábit cor meum in salutári tuo.;Mon cœur s’est exalté dans ton salut.
ant6;Conclúsit Deus ómnia sub peccáto, ut ómnium misereátur.;Dieu a enfermé tous les hommes dans le péché, pour faire miséricorde à tous.
LB_3;LB_Ier 17,7-8;
RB_3;"V/. Dóminus non privábit bonis eos qui ámbulant in innocéntia. 
R/. Dómine virtútum, beátus homo qui sperat in te.
";"V/. Le Seigneur ne prive pas de biens ceux qui marchent dans l’innocence.
R/. O puissance de Dieu, heureux l’homme qui espère en toi."
oratio_3;Omnípotens sempitérne Deus, qui Paráclitum Sanctum tuum hora tértia in Apóstolos effudísti, in nos quoque eúndem Spíritum caritátis emítte, ut fidéle tibi coram ómnibus homínibus testimónium præbeámus. Per Christum.;Dieu éternel et tout puissant, qui as répandu ton Esprit Saint Consolateur sur les Apôtres à la troisième heure, envoie-nous aussi  ce même Esprit de charité pour que fidèlement, devant tous les hommes, nous te rendions témoignage. Par Jésus, le Christ, notre Seigneur. Amen.
LB_6;LB_Prov 3, 13-15;
RB_6;"V/. Dómine, veritátem in corde dilexísti. 
R/. Et in occúlto sapiéntiam manifestásti mihi.";"V/. Seigneur, du cœur j’aime la vérité.
R/. Au dedans de moi fais-moi connaître la sagesse."
oratio_6;Deus, qui Petro salvíficum tuum super gentes consílium revelásti, éffice benígnus, ut ópera nostra tibi grata reddántur, ac tuo dilectiónis salutísque propósito te donánte desérviant. Per Christum.;Dieu qui as révélé à Pierre ta volonté de sauver toutes les nations,  fais en sorte, dans ta bienveillance, que nos actions te soient agréables et servent au dessein d’amour et de salut que tu t’es donné. Par le Christ.
LB_9;LB_Iob 5, 17-18;
RB_9;"V/. Fac cum servo tuo secúndum misericórdiam tuam, Dómine. 
R/. Iustificatiónes tuas doce me.";"V/. Fais de ton serviteur selon ta miséricorde.
R/. Et conduis moi selon tes jugements."
oratio_9;Deus, qui Cornélio centurióni ángelum tuum misísti, ut viam ei salútis osténderet, da nobis, quæsumus, in salvatiónem ómnium libéntius operári, ut una cum eis, in Ecclésia tua, ad te perveníre possímus. Per Christum.;Dieu qui as envoyé ton ange au centurion Corneille pour lui montrer le chemin du salut, donne-nous, nous t’en supplions, de travailler au salut de tous: tous ensemble,  en ton Église, nous puissions  parvenir jusqu'à toi. Par Jésus, le Christ, notre Seigneur. Amen.
HYMNUS_vesperas;hy_Tellúris ingens cónditor;
ant7;Tríbuit Dóminus victóriam Christo suo.;Le Seigneur a donné la victoire à son Christ.
ant8;Cantábimus et psallémus virtútes tuas.;Nous chanterons et psalmodirons tes vertus.
ant9;Fecísti nos, Dómine, regnum et sacerdótes Deo nostro.;Le Seigneur nous a faits rois et prêtres de notre Dieu.
LB_soir;LB_Col 1, 9b-11;
RB_soir;"R/. In ætérnum, Dómine,  * Pérmanet verbum tuum. In ætérnum. 
V/. In sæculum sæculi véritas tua.  * Pérmanet verbum tuum. Glória Patri. In ætérnum.";"R/. Dans l’éternité, Seigneur, * ta parole demeure. Dans l’éternité.
V/. et ta vérité dans les siècles des siècles.  * Ta parole. Gloire au Père. Dans l’éternité."
magnificat;Exsúltet spíritus meus in Dómino Deo, salutári meo.;Mon esprit exulte dans le Seigneur Dieu, mon salut.
oratio_vesperas;Grátias tibi ágimus, Dómine Deus omnípotens, qui nos ad hanc horam vespertínam perveníre tribuísti, te supplíciter deprecántes, ut elevátio mánuum nostrárum sit in conspéctu tuo acceptábile sacrifícium. Per Dóminum.;Nous te rendons grâce, Seigneur Dieu tout-puissant, qui nous as accordé de vivre jusqu'à ce soir, te priant ePar le Christ notre Seigneur.
preces_soir;preces_XII
