HYMNUS_laudes;hy_Fulgéntis auctor ætheris;
ant1;Deus, in sancto via tua: quis Deus magnus sicut Deus noster?;"Dieu, dans ta voie sainte ; quel Dieu est grand comme notre Dieu ?"
ant2;Exsultávit cor meum in Dómino, qui humíliat et súblevat.;Mon cœur exultera dans le Seigneur, celui qui humilie et relève.
ant3;Dóminus regnávit, exsúltet terra.;Le Seigneur règne, qu’exulte la terre.
LB_matin;LB_Rom 8, 35. 37;
RB_matin;"R/. Benedícam Dóminum. * In omni témpore. Benedícam.
V/. Semper laus eius in ore meo. * In omni témpore. Glória Patri. Benedícam.";"R/. Dans l’éternité, Seigneur, * ta parole demeure. Dans l’éternité.
V/. et ta vérité dans les siècles des siècles.  * Ta parole. Gloire au Père. Dans l’éternité."
benedictus;In sanctitáte serviámus Dómino ómnibus diébus nostris.;Dans le sanctuaire, servons Dieu tous les jours de notre vie.
preces_matin;preces_XIII;
oratio_laudes;Emítte, quæsumus, Dómine, in corda nostra tui lúminis claritátem, ut in via mandatórum tuórum iúgiter ambulántes, nihil umquam patiámur erróris. Per Dóminum.;Envoie, nous te le demandons, Seigneur, la clarté de ta lumière en nos cœurs, pour que, marchant sans cesse dans la voie de tes commandements, nous ne souffrions jamais d’aucune erreur.
HYMNUS_tertiam;hy_Nunc_Sancte_nobis_Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Cogitávi vias meas et convérti pedes meos in testimónia tua.;Je réfléchis à mes voies, et je ramène mes pas vers tes enseignements.
ant5;"Timor et tremor venérunt super me; inténde mihi et exáudi me, Dómine.";La crainte et l’effroi m’assaillent, entends-moi et exauce-moi, Seigneur.
ant6;Ad Deum clamábo, et Dóminus salvábit me.;J’ai crié vers Dieu, et le Seigneur m’a sauvé.
LB_3;LB_Deut 1, 16-17a;
RB_3;"V/. Iustus Dóminus et iustítias diléxit.
R/. Recti vidébunt vultum eius.";"V/. Le Juste aime le Seigneur et la justice.
R/. Les hommes droits verront son visage."
oratio_3;Dómine, Pater sancte, Deus fidélis, qui promíssum Spíritum misísti, ut hómines per peccátum dispérsos congregáres, fac nos in mundo unitátis pacísque múnera confovére. Per Christum.;Seigneur, Père saint, Dieu fidèle, qui as envoyé le Saint-Esprit promis, pour que tu rassembles les hommes divisés par le péché, fais de nous les restaurateurs de la paix et de l’unité dans le monde. Par Jésus, le Christ notre Seigneur. Amen.
LB_6;LB_Is 55, 8-9;
RB_6;"V/. Dómine Deus virtútum, quis símilis tibi?
R/. Potens es, Dómine, et véritas tua in circúitu tuo.";"V/. Seigneur Dieu de puissance, qui est comme toi ?
R/. Tu es puissant, Seigneur, et ta fidélité t'environne."
oratio_6;Omnípotens et miséricors Deus, qui nos die média respiráre concédis, quos coepimus propítius intuére labóres, et, sanans quæ delíquimus, fac eos ad finem tibi plácitum perveníre. Per Christum.;"Dieu miséricordieux et tout puissant, qui au milieu du jour nous donne un temps de repos ; regarde avec faveur le travail que nous avons commencé, corrige ce que nous avons mal fait et fais-le aboutir à un résultat qui te plaise."
LB_9;LB_I Sam 16, 7b;
RB_9;"V/. Proba me, Deus, et scito cor meum.
R/. Deduc me in via ætérna.";"V/. Scrute-moi, Dieu, et connais mon cœur.
R/. Conduis-moi vers la vie éternelle."
oratio_9;Dómine Iesu Christe, qui manus tuas in cruce ad salvándos hómines extendísti, concéde, ut actus nostri tibi reddántur accépti, et opus tuæ redemptiónis in mundo váleant declaráre. Qui vivis.;Seigneur Jésus Christ, toi qui étendis les bras sur la croix pour sauver les hommes, fais que nos actes soient susceptibles de teplaire et qu’ils puissent faire connaître au monde ton œuvre de rédemption. Toi qui vis et règnes pour les siècles des siècles. Amen.
HYMNUS_vesperas;hy_Sol, ecce, lentus óccidens;
ant7;Exspectémus beátam spem et advéntum glóriæ Salvatóris nostri.;Nous attendons l’heureuse espérance de l’avènement de la gloire de notre Sauveur.
ant8;Illúminet vultum suum super nos Deus, et benedícat nobis.;Illumine ton visage sur nous, Dieu, et bénis-nous.
ant9;In ipso cóndita sunt univérsa, et ómnia in ipso constant.;En lui tout fut créé, et tout subsiste en lui.
LB_soir;LB_1 Petr 5, 5b-7;
RB_soir;"R/. Custódi nos, Dómine, * Ut pupíllam óculi. Custódi.
V/. Sub umbra alárum tuárum prótege nos. * Ut pupíllam óculi. Glória Patri. Custódi.";"R/. Garde nous Seigneur, comme la pupille de l’œil.
V/. A l’ombre de tes ailes, protège-nous."
magnificat;Fac, Deus, poténtiam in brácchio tuo, dispérde supérbos et exálta húmiles.;Par la puissance de ton bras, Dieu, disperse les superbes et exalte les humbles.
oratio_vesperas;Deus, cuius sanctum est nomen et misericórdia a progénie in progénies celebrátur, pópulum tuum súscipe supplicántem, eíque tríbue perpétuo te magnificáre præcónio. Per Dóminum.;"Seigneur, dont le nom est saint, et la miséricorde  s'étend d'âge en âge; reçois la supplication de ton peuple et donne-lui de te magnifier en une perpetuelle louange."
preces_soir;preces_XIV
