HYMNUS_laudes;hy_Iam, Christe, sol iustítiæ;;
ant1;Excita, Dómine, poténtiam tuam, ut salvos fácias nos.;Déploie, Seigneur, ta puissance, et nous serons sauvés.;
ant2;Magnífice fecit Dóminus, annuntiáte hoc in univérsa terra.;Le Seigneur a fait des prodiges, annoncez-le par toute la terre.;
ant3;Exsultáte Deo, adiutóri nostro.;Exsultez en Dieu notre secours.;
LB_matin;LB_Cf. 1 Reg 8, 51-53a;;
RB_matin;"R/. Ipse liberábit me * De láqueo venántium. Ipse. 
V/. Et a verbo malígno. * De láqueo venántium. Glória Patri. Ipse.";"R/. C'est lui qui m'a dégagé * des filets du chasseur. Il me. 
V/. Et des paroles haineuses. * Des filets du chasseur. Gloire au Père. C'est lui.";
benedictus;Fili, recordáre quia recepísti bona in vita tua, et Lázarus simíliter mala.;Mon fils, souviens-toi que tu as reçu les biens pendant ta vie, et que Lazare a reçu de même les maux.;Lc XVI 25
preces_matin;preces_XIII;;
oratio;Deus, innocéntiæ restitútor et amátor, dírige ad te tuórum corda servórum, ut, Spíritus tui fervóre concépto, et in fide inveniántur stábiles et in ópere efficáces. Per Dóminum.;"O Dieu, qui aimez et rendez l'innocence, dirigez vers vous les c&oelig;urs de vos serviteurs, afin qu'ayant commencé à être fervents grâce à votre Esprit, ils soient trouvés fermes dans la foi et agissants quant aux &oelig;uvres.";
HYMNUS_tertiam;hy_Dei fide, qua vívimus;;
HYMNUS_sextam;hy_Qua Christus hora sítiit;;
HYMNUS_nonam;hy_Ternis ter horis númerus;;
ant4;Advenérunt nobis dies pæniténtiæ ad rediménda peccáta, ad salvándas ánimas.;Les jours de la pénitence nous sont advenus, pour l'expiation des péchés, et le salut de nos âmes.;
ant5;"Vivo ego, dicit Dóminus; nolo mortem peccatóris, sed ut magis convertátur et vivat.";Moi je vis, dit le Seigneur. Je ne prends pas plaisir dans la mort du pêcheur, mais à qu'il se convertisse et qu'il vive.;
ant6;Per arma iustítiæ virtútis Dei, commendémus nosmetípsos in multa patiéntia.;Par les armes de la justice et de la force de Dieu, nous rendons recommandables d'une grande constance.                         ;
LB_3;LB_Is 55, 6-7;;
RB_3;"V/. Cor mundum crea in me, Deus. 
R/. Et spíritum firmum ínnova in viscéribus meis.";"V/.O Dieu, crée en moi un coeur pur;  
R/. Et renouvelle au dedans de moi un esprit ferme.";
LB_6;LB_Deut 30, 2-3a;;
RB_6;"V/. Avérte fáciem tuam a peccátis meis. 
R/. Et omnes iniquitátes meas dele.";"V/. Détourne ta face de mes péchés, 
R/. Efface toutes mes iniquités. ";
LB_9;LB_Hebr 10, 35-36;;
RB_9;"V/. Sacrifícium Deo spíritus contribulátus. 
R/. Cor contrítum et humiliátum, Deus, non despícies.";"V/. Les sacrifices de Dieu, c'est un esprit brisé; 
R/. ô Dieu, tu ne dédaignes pas un coeur brisé et contrit. ";
HYMNUS_vesperas;hy_Iesu, quadragenáriæ;;
ant7;Pósui te in lucem géntium, ut sis salus mea usque ad extrémum terræ.;Je t'ai donné pour lumière des nations, afin que tu sois mon salut jusqu'à l'extrémité de la terre.;
ant8;"Salvos fáciet Dóminus fílios páuperum; ex oppressióne rédimet ánimas eórum.";"Le Seigneur a donné le salut aux fils des pauvres ; il a délivré leurs âmes de l'oppression.";
ant9;Nunc facta est salus et regnum Dei nostri.;Maintenant est accompli le salut et le règne de notre Dieu.;
LB_soir;LB_Iac 4, 7-8. 10;;
RB_soir;"R/. Ego dixi: Dómine, * Miserére mei. Ego. 
V/. Sana ánimam meam, quia peccávi tibi.* Miserére mei. Glória Patri. Ego.";"R/. J'ai dit : Seigneur, * aie pitié de moi. J'ai dit. 
V/.Guéris mon âme, car j'ai péché contre toi.* aie pitié de moi. Gloire au Père. J'ai dit.";
magnificat;Dives ille guttam aquæ pétiit, qui micas panis Lázaro negávit.;Ce riche demanda une goutte d'eau à Lazare, lui qui lui avait refusé quelques miettes de pains.;
preces_soir;preces_XIV;;
