HYMNUS_laudes;hy_Iam, Christe, sol iustítiæ;
ant1;Prævenérunt óculi mei ad te dilúculo. ;Mes yeux devancent les veilles de la nuit. 
ant2;Fortitúdo mea et laus mea Dóminus, et factus est mihi in salútem. ;Ma force et mon chant, c’est le Seigneur, il s’est fait pour moi le salut. 
ant3;Laudáte Dóminum, omnes gentes. ;Louez le Seigneur, tous les peuples. 
LB_matin;LB_Is 65, 1b-3a;
RB_matin;"R/. Ipse liberábit me * De láqueo venántium. Ipse. 
V/. Et a verbo malígno. * De láqueo venántium. Glória Patri. Ipse.";"R/. C'est lui qui m'a dégagé * des filets du chasseur. Il me. 
V/. Et des paroles haineuses. * Des filets du chasseur. Gloire au Père. C'est lui."
benedictus;Iesus mórtuus est, ut fílios Dei qui erant dispérsi congregáret in unum. ;Jésus est mort afin de réunir en unseul corps les enfants de Dieu qui sont dispersés. 
preces_matin;preces_XIV;
oratio;Deus, qui, licet salútem hóminum semper operáris, nunc tamen pópulum tuum grátia abundantióre lætíficas, réspice propítius ad electiónem tuam, ut piæ protectiónis auxílium et regenerándos múniat et renátos. Per Dóminum.;"Seigneur, tu es toujours à l'œuvre pour sauver les hommes, mais en ce moment tu offres plus largement à ton peuple la joie de ta grâce ; regarde avec bienveillance ceux que tu as choisis ; que ton amour protège également ceux qui vont renaître et ceux qui sont renés. "
HYMNUS_tertiam;hy_Dei fide, qua vívimus;
HYMNUS_sextam;hy_Qua Christus hora sítiit;
HYMNUS_nonam;hy_Ternis ter horis númerus;
ant4;Advenérunt nobis dies pæniténtiæ ad rediménda peccáta, ad salvándas ánimas.;Les jours de la pénitence nous sont advenus, pour l'expiation des péchés, et le salut de nos âmes.
ant5;"Vivo ego, dicit Dóminus; nolo mortem peccatóris, sed ut magis convertátur et vivat.";Moi je vis, dit le Seigneur. Je ne prends pas plaisir dans la mort du pêcheur, mais à qu'il se convertisse et qu'il vive.
ant6;Per arma iustítiæ virtútis Dei, commendémus nosmetípsos in multa patiéntia.;Par les armes de la justice et de la force de Dieu, nous rendons recommandables d'une grande constance.                         
LB_3;LB_1 Io 1, 8-9;
RB_3;"V/. Cor mundum crea in me, Deus. 
R/. Et spíritum firmum ínnova in viscéribus meis.";"V/.O Dieu, crée en moi un c&oelig;ur pur;  
R/. Et renouvelle au dedans de moi un esprit ferme."
LB_6;LB_1 Io 2, 1b-2;
RB_6;"V/. Avérte fáciem tuam a peccátis meis. 
R/. Et omnes iniquitátes meas dele.";"V/. Détourne ta face de mes péchés, 
R/. Efface toutes mes iniquités. "
LB_9;LB_1 Io 2, 8b-10;
RB_9;"V/. Sacrifícium Deo spíritus contribulátus. 
R/. Cor contrítum et humiliátum, Deus, non despícies.";"V/. Les sacrifices de Dieu, c'est un esprit brisé; 
R/. ô Dieu, tu ne dédaignes pas un c&oelig;ur brisé et contrit. "
HYMNUS_vesperas;hy_Audi, benígne Cónditor;
ant7;"Tanto témpore vobíscum eram, docens vos in templo, et non me tenuístis; modo flagellátum dúcitis ad crucifigéndum. ";Tout ce temps  j’étais près de vous dans le Temple, et vous ne m’avez pas arrêté : et voici que vous m’emmenez, flagellé, pour être crucifié.
ant8;Dóminus Deus auxiliátor meus, et ídeo non sum confúsus. ;"Le Seigneur m'est venu en aide ; c'est pourquoi l'outrage ne m'a point abattu."
ant9;Humiliávit semetípsum Dóminus Iesus, factus obœdiens usque ad mortem, mortem autem crucis. ;Jésus le Seigneur s'est abaissé lui-même, se faisant obéissant jusqu'à lamort, et à la mort de la croix.
LB_soir;LB_1 Petr 1, 18-21;
RB_soir;"R/. Atténde, Dómine, et miserére, * Quia peccávimus tibi. Atténde.
V/. Exáudi, Christe, supplicántum preces. * Quia peccávimus tibi. Glória Patri. Atténde.";"R/. Ecoute, Seigneur, et prends pitié, * car nous avons péché contre Toi. Ecoute.
V/. Ecoute, ô Christ, les pières de ceux qui te supplient.* car nous avons péché contre Toi. Gloire au Père. Ecoute."
preces_soir;preces_I;
