Canticum (Ex 15, 1-4 b. 8-13. 17-18) AT 1;Cant. de Moïse (Ex 15) AT 1
Hymnus victoriæ post transitum Maris Rubri;Hymne de victoire après le passage de la Mer Rouge 
Qui vicerunt bestiam, cantabant canticum Moysi, servi Dei (Cf. Ap 15, 2-3).; Ceux qui ont vaincu la bête chantent le cantique de Moise, serviteur de Dieu. (Cf. Ap 15, 2-3).
;
Cantémus Dómino: + glorióse enim magnificátus est, * equum et ascensórem deiécit in mare.;Je chanterai pour le Seigneur! Éclatante est sa gloire: il a jeté dans la mer cheval et cavalier!
Fortitúdo mea et robur meum Dóminus, * et factus est mihi in salútem. ;Ma force et mon chant, c'est le Seigneur:              il est pour moi le salut. 
"Iste Deus meus, et glorificábo eum; * Deus patris mei, et exaltábo eum! ";Il est mon Dieu, je le célèbre j'exalte le Dieu de mon père.
"Dóminus quasi vir pugnátor; + Iahveh nomen eius! * Currus pharaónis et exércitum eius proiécit in mare.";"Le Seigneur est le guerrier des combats; son nom est «Le Seigneur». Les chars du Pharaon et ses armées, il les lance dans la mer. "
"In spíritu furóris tui congregátæ sunt aquæ; + stetit ut agger unda fluens, * coagulátæ sunt abyssi in medio mari.";"Au souffle de tes narines, les eaux s'amoncellent: comme une digue, se dressent les flots; les abimes se figent au coeur de la mer."
"Dixit inimícus: «Pérsequar, comprehéndam; * dívidam spólia, implébitur ánima mea:";"L'ennemi disait: «Je poursuis, je domine, je partage le butin, je m'en repais;"
evaginábo gládium meum, * interfíciet eos manus mea!». ;je tire mon épée: je prends les dépouilles et ma main les fera mourir.
"Flavit spíritus tuus, et opéruit eos mare; * submérsi sunt quasi plumbum in aquis veheméntibus.";"Tu souffles ton haleine: la mer les recouvre; comme du plomb, ils s'abîment: dans les eaux redoutables."
Quis símilis tui in diis, Dómine? Quis símilis tui, magníficus in sanctitáte, * terríbilis atque laudábilis, fáciens mirabília? ;Qui est comme toi parmi les dieux, Seigneur? Qui est comme toi, magnifique en sainteté, terrible en ses exploits, auteur de prodiges?
Extendísti manum tuam, devorávit eos terra. * Dux fuísti in misericórdia tua pópulo, quem redemísti, ;"Tu étends ta main droite: la terre les avale. Tu conduis par ton amour ce peuple que tu as racheté;"
et portásti eum in fortitúdine tua * ad habitáculum sanctum tuum.;tu le guides par ta force vers ta sainte demeure.
Introdúces eos et plantábis * in monte hereditátis tuæ, firmíssimo habitáculo tuo, ;Tu les amènes, tu les plantes sur la montagne, ton héritage, le lieu que tu as fait,
quod operátus es, Dómine, * sanctuário, Dómine, quod firmavérunt manus tuæ. ; Seigneur, pour l'habiter, le sanctuaire, Seigneur, fondé par tes mains.
Dóminus regnábit * in ætérnum et ultra!;Le Seigneur régnera pour les siècles des siècles.
