Canticum (Sir 36, 1-7. 13-16) AT 15;Cantique (Sir 36, 1-7. 13-16) AT 15
Supplicatio pro sancta civitate Ierusalem;Supplication pour la ville sainte de Jérusalem
Hæc est vita æterna, ut cognoscant te solum verum Deum et, quem misisti, Iesum Christum (Io 17, 3).;Or la vie éternelle, c’est qu’ils te connaissent,toi, le seul Dieu véritable, et celui que tu as envoyé, Jésus-Christ (Io 17, 3).

"Miserére nostri, Deus ómnium, et réspice nos * et osténde nobis lucem miseratiónum tuárum;";"Aie pitié de nous, Maître, Dieu de l'univers et regarde;"
et immítte timórem tuum super gentes, * quæ non exquisiérunt te,;et répands ta terreur sur toutes les nations.
ut cognóscant quia non est Deus nisi tu, * et enárrent magnália tua.;afin qu'elles reconnaissent qu'il n'y a pas d'autre Dieu que toi et qu'elles proclament tes grandeurs
Alleva manum tuam super gentes aliénas, * ut vídeant poténtiam tuam.;Lève ta main contre les peuples étrangers, et qu'ils sentent ta puissance !
Sicut enim in conspéctu eórum sanctificátus es in nobis * sic in conspéctu nostro mágnificáberis in eis,;"De même que tu as montré devant eux ta sainteté en nous punissant, ainsi montre ta grandeur devant nous en les châtiant;"
ut cognóscant, sicut et nos cognóvimus, * quóniam non est Deus præter te, Dómine.;et qu'ils apprennent, comme nous l'avons appris nous-mêmes, qu'il n'y a pas d'autre Dieu que toi, Seigneur !
Innova signa et ítera mirabília, * glorífica manum et firma bráchium dextrum.;"Renouvele les prodiges, et reproduis les merveilles ; glorifie ta main et ton bras droit."
Cóngrega omnes tribus Iacob, * et hereditábis eos sicut ab inítio.;Rassemble toutes les tribus de Jacob, et rends-leur l'héritage tel qu'au commencement.
Miserére plebi tuæ, super quam invocátum est nomen tuum, * et Israel, quem coæquásti primogénito tuo.;Seigneur, aie pitié de votre peuple, qui est appelé de ton nom, et d'Israël, que tu as fait semblable à un premier-né.
Miserére civitáti sanctificatiónis tuæ, * Ierúsalem, loco requiéi tuæ.;Prends compassion de la ville de ton sanctuaire, de Jérusalem, le lieu de ton repos.
Reple Sion maiestáte tua * et glória tua templum tuum.;Remplis Sion de tes oracles, et ton peuple de ta gloire.
