Canticum (Is 2, 2-5) AT17;Cantique (Is 2, 2-5) AT17
Mons domus Domini in vertice montium;La montagne de la maison du Seigneur 
Omnes gentes venient et adorabunt in conspectu tuo (Ap 15, 4).;Toutes les nations viendront et adoreront en ta présence (Ap 15, 4).
;
Erit in novíssimis diébus * præparátus mons domus Dómini in vértice móntium,;Il arrivera, à la fin des jours, que la Montagne de la maison de du Seigneur au sommet des montagnes 
et elevábitur super colles, * et fluent ad eum omnes gentes.;et élevée au-dessus des collines.et des nations nombreuses viendront
Et ibunt pópuli multi et dicent: «Veníte et ascendámus ad montem Dómini, * ad domum Dei Iacob,;"et diront: ""Venez et montons à la montagne du Seigneur à la maison du Dieu de Jacob ;"
"ut dóceat nos vias suas, * et ambulémus in sémitis eius»;";il nous instruira de ses voies, et nous marcherons dans ses sentiers.
quia de Sion exíbit lex * et verbum Dómini de Ierúsalem.;Car de Sion sortira la loi, et de Jérusalem la parole du Seigneur. 
Et iudicábit gentes * et árguet pópulos multos,;Il sera l'arbitre des peuples et le juge de nations nombreuses.
"et conflábunt gládios suos in vómeres * et lánceas suas in falces;";"Ils forgeront leurs épées en socs de charrue; et leurs lances en faucilles."
non levábit gens contra gentem gládium, * nec exercebúntur ultra ad proelium.;Une nation ne lèvera plus l'épée contre l'autre, et l'on n'apprendra plus la guerre. 
Domus Iacob, veníte, * et ambulémus in lúmine Dómini.;Maison de Jacob, venez, et marchons à la lumière du Seigneur.
