Canticum (Is 45, 15-25) AT27;Cantique. d'Isaïe (Is 45). AT 27
Omnes gentes convertantur ad Dominum;Que toutes les nations se tournent vers le Seigneur.
In nomine Iesu omne genu flectatur (Phil 2, 10).;Qu’au nom de Jésus, tout genou fléchisse. (Phil 2, 10).
;
Vere tu es Deus abscónditus, * Deus Israel salvátor.;Vraiment tu es un Dieu qui se cache Dieu d'Israël, Sauveur.
Confúsi sunt et erubuérunt omnes, * simul abiérunt in confusiónem fabricatóres idolórum. ;Ils sont tous humiliés, déshonorés, ils s'en vont, couverts de honte, ceux qui fabriquent leurs idoles.
"Israel salvátus est in Dómino salúte ætérna; * non confundémini et non erubescétis usque in sæculum sæculi.";"Israël est sauvé par le Seigneur, sauvé pour les siècles; vous ne serez ni honteux ni humiliés pour la suite des siècles."
"Quia hæc dicit Dóminus, qui creávit cælos, ipse Deus, * qui formávit terram et fecit eam, ipse fundávit eam; ";"Ainsi parle le Seigneur, le Créateur des cieux, lui, le Dieu qui fit la terre et la forma, lui qui l'affermit ;"
non ut vácua esset, creávit eam, ut habitarétur, formávit eam: * «Ego Dóminus, et non est álius.;qui l'a créée, non pas comme un lieu vide, qui l'a faite pour être habitée: «Je suis le Seigneur: il n'en est pas d'autre!
"Non in abscóndito locútus sum, * in loco terræ tenebróso; ";"Quand j'ai parlé, je ne me cachais pas quelque part dans l'obscurité de la terre ; "
non dixi sémini Iacob: “Frustra quærite me”. * Ego Dóminus loquens iustítiam, annúntians recta.;"je n'ai pas dit aux descendants de Jacob: ""Cherchez-moi dans le vide !"" Je suis le Seigneur qui profère la justice, qui annonce la vérité!"
Congregámini et veníte et accédite simul, * qui salváti estis ex géntibus. ;«Rassemblez-vous, venez, approchez tous, survivants des nations.
Nesciérunt, qui levant lignum sculptúræ suæ * et rogant deum non salvántem.;lls sont dans l'ignorance, ceux qui portent leurs idoles de bois, et qui adressent des prières auur dieu qui ne sauve pas.
Annuntiáte et veníte et consiliámini simul. * Quis audítum fecit hoc ab inítio, ex tunc prædíxit illud? ;Déclarez-vous, présentez vos preuves, tenez conseil entre vous: qui donc l'a d'avance révélé et jadis annoncé ?
Numquid non ego Dóminus, et non est ultra Deus absque me? * Deus iustus et salvans non est præter me.;"N'est-ce pas moi, le Seigneur ? Hors moi, pas de Dieu; de Dieu juste et sauveur, pas d'autre que moi !"
Convertímini ad me et salvi éritis, omnes fines terræ, * quia ego Deus, et non est álius.;Tournez-vous vers moi: vous serez sauvés, tous les lointains de la terre! «Oui, je suis Dieu: il n'en est pas d'autre.
"In memetípso iurávi: Egréssa est de ore meo iustítia, * verbum, quod non revertétur; ";Je le jure par moi-même : de ma bouche sort la justice, la parole que rien n'arrête.
quia mihi curvábitur omne genu, * et iurábit omnis língua».;car devant moi, tout genou fléchira, toute langue en fera le serment »
«Tantum in Dómino» dicent * «sunt iustítiæ et robur!». ;« Par le Seigneur seulement » dira-t-elle de moi « la justice et la force ! »
Ad eum vénient et confundéntur omnes, qui repúgnant ei: * in Dómino iustificábitur et laudábitur omne semen Israel.;Jusqu'à lui viendront, humiliés, tous ceux qui s'enflammaient contre lui : elle obtiendra, par le Seigneur, justice et gloire, toute la descendance d'Israël.
