Canticum (Deut 32, 1-12) AT2 - Divisio;Cantique (Deut 32, 1-12) AT2 - Division
;
;
;
"Meménto diérum antiquórum, * cógita generatiónes síngulas;";Rappelle-toi les jours de jadis, pénètre le cours des âges.
intérroga patrem tuum, et annuntiábit tibi, * maióres tuos, et dicent tibi.;"Interroge ton père, il t'instruira; les anciens te le diront."
Quando dividébat Altíssimus gentes, * quando separábat fílios Adam,;Quand le Très-Haut dota les nations, quand il sépara les fils d'Adam,
"constítuit términos populórum * iuxta númerum filiórum Israel;";il fixa les frontières des peuples d'après le nombre des fils de Dieu.
pars autem Dómini pópulus eius, * Iacob funículus hereditátis eius.;Mais le lot du Seigneur, ce fut son peuple, Jacob, sa part d'héritage.
"Invénit eum in terra desérta, * in loco horróris et ululátu solitúdinis;";Il le trouve au pays du désert, chaos de hurlements sauvages.
circúmdedit eum et atténdit * et custodívit quasi pupíllam óculi sui.;Il l'entoure, il l'élève, il le garde comme la prunelle de son oeil.
Sicut áquila próvocans ad volándum pullos suos * et super eos vólitans;Tel un aigle qui éveille sa nichée et plane au-dessus de ses petits,
expándit alas suas et assúmpsit eum * atque portávit super pennas suas.;il déploie son envergure, il le prend, il le porte sur ses ailes.
Dóminus solus dux eius fuit, * et non erat cum eo deus aliénus.;Le Seigneur seul l'a conduit: pas de dieu étranger auprès de lui.
