Canticum (Dan 3, 52-57) AT 40;Cantique (Dn 3,52-57) AT 40
Omnis creatura laudet Dominum;Que toute créature loue le Seigneur 
Creator... est benedictus in sæcula (Rom 1, 25).; Le Créateur, qu'il soit béni éternellement! Rm 1, 25
;
"Benedíctus es, Dómine Deus patrum nostrórum, * et laudábilis et superexaltátus in sæcula;";Béni sois-tu, Seigneur, Dieu de nos pères: à toi, louange et gloire éternellement!
et benedíctum nomen glóriæ tuæ sanctum * et superlaudábile et superexaltátum in sæcula.;Béni soit le nom très saint de ta gloire: à toi, louange et gloire éternellement!
Benedíctus es in templo sanctæ glóriæ tuæ * et superlaudábilis et supergloriósus in sæcula.;Béni sois-tu dans ton saint temple de gloire: à toi, louange et gloire éternellement!
Benedíctus es in throno regni tui * et superlaudábilis et superexaltátus in sæcula.;Béni sois-tu sur le trône de ton règne: à toi, louange et gloire éternellement!
Benedíctus es, qui intuéris abyssos sedens super chérubim, * et laudábilis et superexaltátus in sæcula.;Béni sois-tu, toi qui sondes les abîmes à toi, louange et gloire éternellement!
Benedíctus es in firmaménto cæli * et laudábilis et gloriósus in sæcula.;Béni sois-tu au firmament, dans le ciel: à toi, louange et gloire éternellement!
Benedícite, ómnia ópera Dómini, Dómino, * laudáte et superexaltáte eum in sæcula.;Toutes les oeuvres du Seigneur, bénissez-le: à toi, louange et gloire éternellement!
;
;
