Canticum (Tob 13, 2-8);Cant de Tobie (Tob 13) AT 5
Deus castigans et salvans AT5;Dieu châtie et sauve AT5
Benedictus Deus et Pater Domini nostri Iesu Christi, qui secundum magnam misericordiam suam regeneravit nos (1 Petr 1, 3).;Béni soit Dieu le Père de notre Seigneur Jésus-Christ, qui selon sa grande miséricorde nous a régénérés (1 Petr 1, 3).
;
Benedíctus Deus vivens in ævum, et regnum illíus, * quia ipse flagéllat et miserétur, ;Béni soit Dieu, le Vivant, à jamais ! Béni soit son règne! C'est lui qui frappe et fait grâce,
dedúcit usque ad ínferos deórsum et redúcit a perditióne maiestáte sua, * et non est qui effúgiat manum eius.;qui mène à l'abîme et en ramène: nul n'échappe à sa main.
Confitémini illi, fílii Israel, coram natiónibus, quia ipse dispérsit vos in illis * et ibi osténdit maiestátem suam.;"Rendez-lui grâce, fils d'Israël, à la face des nations où lui-même vous a dispersés; là, vous montrerez sa grandeur:"
Et exaltáte illum coram omni vivénte, quóniam Dóminus noster, et ipse est pater noster * et ipse est Deus noster in ómnia sæcula.;exaltez-le à la face des vivants. Il est notre Dieu, notre Père, le Seigneur, pour les siècles des siècles!
Flagellábit vos ob iniquitátes vestras * et ómnium miserébitur vestrum ;Il vous frappait pour vos péchés maintenant il fait grâce:
et cólliget vos ab ómnibus natiónibus, * ubicúmque dispérsi fuéritis. ;il vous rassemble de toutes les nations où vous étiez disséminés.
Cum convérsi fuéritis ad illum in toto corde vestro et in tota ánima vestra, * ut faciátis coram illo veritátem, ;Si vous revenez vers lui de coeur et d'âme pour vivre, dans la vérité, devant lui, 
tunc revertétur ad vos * et non abscóndet a vobis fáciem suam ámplius.;alors il reviendra vers vous et jamais plus ne cachera sa face.
Et nunc aspícite, quæ fecit vobíscum, * et confitémini illi in toto ore vestro. ;Regardez ce qu'il a fait pour vous, rendez-lui grâce à pleine voix!
Benedícite Dóminum iustítiæ * et exaltáte regem sæculórum.;Bénissez le Seigneur de justice, exaltez le Roi des siècles!
Ego in terra captivitátis meæ confíteor illi * et osténdo virtútem et maiestátem eius genti peccatórum. ;"Et moi, en terre d'exil, je lui rends grâce;       je montre sa grandeur et sa force au peuple des pécheurs."
Convertímini, peccatóres, et fácite iustítiam coram illo. * Quis scit, si velit vos et fáciat vobis misericórdiam?;«Revenez, pécheurs, et vivez devant lui dans la justice. * Qui sait s'il ne vous rendra pas son amour et sa grâce!»
Ego et ánima mea regi cæli lætatiónes dícimus, * et ánima mea lætábitur ómnibus diébus vitæ suæ. ;"J'exalterai mon Dieu, le roi du ciel; mon âme se réjouit de sa grandeur."
Benedícite Dóminum, omnes elécti, et omnes laudáte maiestátem illíus. * Agite dies lætítiæ et confitémini illi.;Bénissez le Seigneur, vous, les élus! Fêtez-le, rendez-lui grâce!
