"Canticum (Ap 11, 17-18; 12, 10 b-12 a) NT10";Cantique. (Ap 11-12) NT10
De iudicio Dei ;Le jugement de Dieu


Grátias ágimus tibi, * Dómine Deus omnípotens,;A toi, nous rendons grâce, Seigneur, Dieu de l'univers, 
qui es et qui eras, * quia accepísti virtútem tuam magnam et regnásti.;toi qui es, toi qui étais tu as saisi ta grande puissance et pris possession de ton règne.
Et irátæ sunt gentes, * et advénit ira tua, et tempus mortuórum iudicári,;Les peuples s'étaient mis en colère, alors, ta colère est venue et le temps du jugement pour les morts,
et réddere mercédem servis tuis prophétis et sanctis * et timéntibus nomen tuum, pusíllis et magnis.;le temps de récompenser tes serviteurs, les saints, les prophètes, ceux qui craignent ton nom, les petits et les grands.
Nunc facta est salus et virtus et regnum Dei nostri * et potéstas Christi eius,;Maintenant voici le salut et le règne et la puissance de notre Dieu, voici le pouvoir de son Christ!
quia proiéctus est accusátor fratrum nostrórum, * qui accusábat illos ante conspéctum Dei nostri die ac nocte.;L'accusateur de nos frères est rejeté, lui qui les accusait, jour et nuit, devant notre Dieu.
"Et ipsi vicérunt illum propter sánguinem Agni * et propter verbum testimónii sui; ";Ils l'ont vaincu par le sang de l'Agneau par la parole dont ils furent les témoins,
et non dilexérunt ánimam suam * usque ad mortem. ;renonçant à l'amour d'eux-mêmes, jusqu'à mourir.
Proptérea lætámini, cæli * et qui habitátis in eis.;Soyez donc dans la joie, cieux, et vous, habitants des cieux!
