Canticum (Cf. Col 1, 12-20) NT6;Cantique (Cf. Col 1, 12-20) NT6
Christus primogenitus omnis creaturæ et primogenitus ex mortuis ;Le Christ, premier-né  de toutes créatures, premier-né d'entre les morts


"Grátias agámus Deo Patri, * qui idóneos nos fecit in partem sortis sanctórum in lúmine; ";Rendons grâce à Dieu le Père, lui qui nous a donné d'avoir part à l'héritage des saints, dans la lumière.
qui erípuit nos de potestáte tenebrárum * et tránstulit in regnum Fílii dilectiónis suæ,;Nous arrachant à la puissance des ténèbres, il nous a placés dans le Royaume de son Fils bien-aimé: 
"in quo habémus redemptiónem, * remissiónem peccatórum;";en lui nous avons le rachat, le pardon des péchés. 
qui est imágo Dei invisíbilis, * primogénitus omnis creatúræ, ;Il est l'image du Dieu invisible, le premier-né, avant toute créature.
quia in ipso cóndita sunt univérsa in cælis et in terra, * visibília et invisibília, ;en lui, tout fut créé, dans le ciel et sur la terre. Les êtres visibles et invisibles, 
sive throni sive dominatiónes * sive principátus sive potestátes.;puissances, principautés, souverainetés, dominations, tout est créé par lui et pour lui.
Omnia per ipsum et in ipsum creáta sunt, et ipse est ante ómnia, * et ómnia in ipso constant.;Il est avant toute chose, et tout subsisté en lui.
"Et ipse est caput córporis ecclésiæ; qui est princípium, primogénitus ex mórtuis, * ut sit in ómnibus ipse primátum tenens,";Il est aussi la tête du corps, la tête de l'Église: c'est lui le commencement, le premier-né d'entre les morts, afin qu'il ait en tout la primauté.
quia in ipso complácuit omnem plenitúdinem habitáre * et per eum reconciliáre ómnia in ipsum, ;Car Dieu a jugé bon qu'habite en lui toute plénitude et que tout, par le Christ, lui soit enfin réconcilié,
pacíficans per sánguinem crucis eius, * sive quæ in terris sive quæ in cælis sunt.;faisant la paix par le sang de sa Croix, la paix pour tous les êtres sur la terre et dans le ciel.
