Canticum Evangelicum (Lc 1, 46-55);Cantique évangélique (Lc 1, 46-55)
Exultatio animæ in Domino;Exultation de l’âme dans le Seigneur


Magníficat * ánima mea Dóminum, ;Mon âme glorifie le Seigneur,
et exsultávit spíritus meus * in Deo salvatóre meo, ;et mon esprit a tressailli d'allégresse en Dieu mon sauveur,
quia respéxit humilitátem ancíllæ suæ.* Ecce enim ex hoc beátam me dicent omnes generationes,;parce qu'Il a jeté les yeux sur la bassesse de sa servante.  Car voici que, désormais, toutes les générations me diront bienheureuse,
quia fecit mihi magna, qui potens est, * et sanctum nomen eius,;"parce que celui qui est puissant a fait en moi de grandes choses, et son nom est saint;"
et misericórdia eius in progénies et progénies * timéntibus eum.;et sa miséricorde se répand d'âge en âge sur ceux qui le craignent.
"Fecit poténtiam in bráchio suo, * dispérsit supérbos mente cordis sui; ";Il a déployé la force de son bras, Il a dispersé ceux qui s'enorgueillissaient dans les pensées de leur coeur.
"depósuit poténtes de sede * et exaltávit húmiles;";Il a renversé les puissants de leur trône, et Il a élevé les humbles.
esuriéntes implévit bonis * et dívites dimísit inánes.;Il a rempli de biens les affamés, et Il a renvoyé les riches les mains vides.
Suscépit Israel púerum suum, * recordátus misericórdiæ, ;Il a relevé Israël, son serviteur, se souvenant de sa miséricorde:
sicut locútus est ad patres nostros, * Abraham et sémini eius in sæcula.;selon ce qu'il avait dit à nos pères, à Abraham et à sa race pour toujours.
