Psalmus 109 (110), 1-5. 7;Psaume 109 (110), 1-5. 7
Messias rex et sacerdos;Le messie, roi et prêtre
Oportet illum regnare, donec ponat omnes inimicos sub pedibus eius (1 Cor 15, 25).;Il faut qu’il règne, après avoir mis tous ses ennemis sous ses pieds (1 Cor 15, 25).

Dixit Dóminus Dómino meo: * «Sede a dextris meis,;Le Seigneur a dit a mon Seigneur : Assieds-toi à ma droite.
donec ponam inimícos tuos * scabéllum pedum tuórum».;En attendant que je fasse de tes ennemis l’escabeau de tes pieds.
Virgam poténtiæ tuæ emíttet Dóminus ex Sion: * domináre in médio inimicórum tuórum.;"Le Seigneur fera sortir de Sion le sceptre de ta puissance ; Règne en maître au milieu de tes ennemis."
Tecum principátus in die virtútis tuæ, in splendóribus sanctis, * ex útero ante lucíferum génui te.;A toi le pouvoir souverain au jour de ta force, dans les splendeurs du sanctuaire. De mon sein, avant l’aurore, je t’ai engendré.
Iurávit Dóminus et non pænitébit eum: * «Tu es sacérdos in ætérnum secúndum órdinem Melchísedech».;Le Seigneur l’a juré, il ne s’en repentira point. Tu es prêtre à jamais selon l’ordre de Melchisédech.
Dóminus a dextris tuis, * conquassábit in die iræ suæ reges. ;Le Seigneur est à ta droite : au jour de sa colère, il brisera les rois.
De torrénte in via bibet, * proptérea exaltábit caput.;"Il boira en chemin au torrent ; c’est pourquoi il relèvera la tête."
