Psalmus 113 B (115);Psalmus 113 B (115)
Laus veri Dei;Louange au vrai Dieu
Conversi estis ad Deum a simulacris servire Deo vivo et vero (1 Th 1, 9).;Vous vous êtes convertis à Dieu erg vous détournant des idoles, afin de servir le Dieu vivant et véritable.(1 Th 1, 9)
;
Non nobis, Dómine, non nobis, sed nómini tuo da glóriam * super misericórdia tua et veritáte tua.;Non pas à nous, le Seigneur, non pas à nous, mais à ton nom donne la gloire, à cause de ta bonté, à cause de ta fidélité! 
Quare dicent gentes: * «Ubi est Deus eórum?».;Pourquoi les nations diraient-elles: « Où donc est leur Dieu? » 
Deus autem noster in cælo, * ómnia, quæcúmque vóluit, fecit.;"Notre Dieu est dans le ciel; tout ce qu'il veut, il le fait. "
Simulácra géntium argéntum et aurum, * ópera mánuum hóminum.;Leurs idoles sont de l'argent et de l'or, ouvrage de la main des hommes. 
Os habent et non loquéntur, * óculos habent et non vidébunt.;"Elles ont une bouche, et ne parlent point; elles ont des yeux, et ne voient point. "
Aures habent et non áudient, * nares habent et non odorábunt.;"Elles ont des oreilles, et n'entendent point; elles ont des narines, et ne sentent point. "
"Manus habent et non palpábunt, pedes habent et non ambulábunt; * non clamábunt in gútture suo.";"Elles ont des mains, et ne touchent point; elles ont des pieds, et ne marchent point; de leur gosier elles ne font entendre aucun son. "
Símiles illis erunt, qui fáciunt ea, * et omnes, qui confídunt in eis.;Qu'ils leur ressemblent ceux qui les font, et quiconque se confie à elles! 
Domus Israel sperávit in Dómino: * adiutórium eórum et scutum eórum est.;Israël, mets ta confiance dans le Seigneur! Il est leur secours et leur bouclier. 
Domus Aaron sperávit in Dómino: * adiutórium eórum et scutum eórum est.;Maison d'Aaron, mets ta confiance dans le Seigneur! Il est leur secours et leur bouclier. 
Qui timent Dóminum, speravérunt in Dómino: * adiutórium eórum et scutum eórum est.;Vous qui craignez le Seigneur, mettez votre confiance dans le Seigneur! Il est leur secours et leur bouclier. 
Dóminus memor fuit nostri * et benedícet nobis:;le Seigneur s'est souvenu de nous: il bénira !
benedícet dómui Israel, * benedícet dómui Aaron,;"Il bénira la maison d'Israël; il bénira la maison d'Aaron; "
benedícet ómnibus, qui timent Dóminum, * pusíllis cum maióribus.;il bénira ceux qui craignent le Seigneur, les petits avec les grands. 
Adíciat Dóminus super vos, * super vos et super fílios vestros.;Que le Seigneur multiplie sur vous ses faveurs, sur vous et sur vos enfants! 
Benedícti vos a Dómino, * qui fecit cælum et terram.;Soyez bénis du Seigneur, qui a fait les cieux et la terre! 
Cæli, cæli sunt Dómino, * terram autem dedit fíliis hóminum.;Les cieux sont les cieux du Seigneur, mais il a donné la terre aux fils de l'homme. 
Non mórtui laudábunt te, Dómine, * neque omnes, qui descéndunt in siléntium,;"Ce ne sont pas les morts qui louent le Seigneur, ceux qui descendent dans le lieu du silence; "
sed nos, qui vívimus, benedícimus Dómino * ex hoc nunc et usque in sæculum.;mais nous, nous bénirons le Seigneur, dès maintenant et à jamais.
