Psalmus 115 (116B) ;Psaume 115 (116B)
Gratiarum actio in templo ;Action de grâce dans le temple
Per ipsum (Christum) offeramus hostiam laudis semper Deo (Hebr 13, 15).;Par lui (le Christ) que nous offrions un sans cesse à Dieu un sacrifice de louange (Hebr 13, 15).
;
Crédidi, étiam cum locútus sum: * «Ego humiliátus sum nimis».;J'ai confiance, alors même que je dis: « je suis malheureux à l'excès. » 
Ego dixi in trepidatióne mea: * «Omnis homo mendax».;Je disais dans mon abattement: « Tout homme est menteur. » 
Quid retríbuam Dómino * pro ómnibus, quæ retríbuit mihi?;Que rendrai-je au Seigneur pour tous ses bienfaits à mon égard! 
Cálicem salutáris accípiam * et nomen Dómini invocábo.;J'élèverai la coupe du salut, et j'invoquerai le nom du Seigneur. 
Vota mea Dómino reddam * coram omni pópulo eius.;J'accomplirai mes voeux envers le Seigneur en présece de tout son peuple. 
Pretiósa in conspéctu Dómini * mors sanctórum eius.;Elle a du prix aux yeux du Seigneur, la mort de ses fidèles. 
O Dómine, ego servus tuus, * ego servus tuus et fílius ancíllæ tuæ.;Ô Seigneur, je suis ton serviteur, ton serviteur, fils de ta servante.
Dirupísti víncula mea: tibi sacrificábo hóstiam laudis * et nomen Dómini invocábo.;Tu as détaché mes liens. Je t'offrirai un sacrifice d'actions de grâces, et j'invoquerai le nom du Seigneur. 
Vota mea Dómino reddam * coram omni pópulo eius,;J'accomplirai mes voeux envers le Seigneur, en présence de tout son peuple,
in átriis domus Dómini, * in médio tui, Ierúsalem.;dans les parvis de la maison du Seigneur, dans ton enceinte, Jérusalem.
