Psalmus 118 (119), 9-16;Psaume 118 (119), 9-16
II (Beth);II (Beth)
;
;
In quo mundabit adulescentior viam suam? In custodiendo sermones tuos.;Comment le jeune homme rendra-t-il pur son sentier? En se gardant selon ta parole. 
"In toto corde meo exquisivi te; ne errare me facias a praeceptis tuis.";Je te cherche de tout mon coeur: ne me laisse pas errer loin de tes commandements. 
In corde meo abscondi eloquia tua, ut non peccem tibi.;Je garde ta parole cachée dans mon coeur, afin de ne pas pécher contre toi. 
"Benedictus es, Domine; doce me iustificationes tuas.";Béni sois-tu, Seigneur! Enseigne-moi tes lois. 
In labiis meis numeravi omnia iudicia oris tui.;De mes lèvres j'énumère tous les préceptes de ta bouche. 
In via testimoniorum tuorum delectatus sum sicut in omnibus divitiis.;J'ai de la joie à suivre tes enseignements, comme si je possédais tous les trésors. 
In mandatis tuis exercebor et considerabo vias tuas.;Je veux méditer tes ordonnances, avoir les yeux sur tes sentiers. 
In iustificationibus tuis delectabor, non obliviscar sermonem tuum.;Je fais mes délices de tes lois, je n'oublierai pas ta parole. 
