Psalmus 118 (119), 17-24;Psaume 118 (119), 17-24
III (Ghimel);III (Ghimel)
;
;
Bénefac servo tuo, et vivam * et custódiam sermónem tuum. ;"Use de bonté envers ton serviteur, afin que je vive; et j'observerai ta parole. "
Revéla óculos meos, * et considerábo mirabília de lege tua.;Ouvre mes yeux, pour que je contemple les merveilles de ta loi. 
Incola ego sum in terra, * non abscóndas a me præcépta tua. ;Je suis un étranger sur la terre: ne me cache pas tes commandements. 
Defécit ánima mea in desiderándo iudícia tua * in omni témpore.;Mon âme est brisée par le désir, qui toujours la porte vers tes préceptes. 
"Increpásti supérbos; * maledícti, qui errant a præcéptis tuis.";Tu menaces les orgueilleux, ces maudits, qui s'égarent loin de tes commandements.
Aufer a me oppróbrium et contémptum, * quia testimónia tua servávi.;Eloigne de moi la honte et le mépris, car j'observe tes enseignements.
Etsi príncipes sedent et advérsum me loquúntur, * servus tamen tuus exercétur in iustificatiónibus tuis. ;Que les princes siègent et parlent contre moi: ton serviteur méditera tes lois.
Nam et testimónia tua delectátio mea, * et consílium meum iustificatiónes tuæ.;Oui, tes enseignements font mes délices, ce sont les hommes de mon conseil. 
