Psalmus 118 (119), 41-48;Psaume 118 (119), 41-48
VI (Vau);VI (Vau)
;
;
Et véniat super me misericórdia tua, Dómine, * salutáre tuum secúndum elóquium tuum.;Que vienne sur moi ta miséricorde, Seigneur, et ton salut, selon ta parole !
Et respondébo exprobrántibus mihi verbum, * quia sperávi in sermónibus tuis.;Et je pourrai répondre à celui qui m'outrage, car je me confie en ta parole.
Et ne áuferas de ore meo verbum veritátis usquequáque, * quia in iudíciis tuis supersperávi.;N'ôte pas entièrement de ma bouche la parole de vérité, car j'espère en tes préceptes. 
Et custódiam legem tuam semper, * in sæculum et in sæculum sæculi.;Je veux garder ta loi constamment, toujours et à perpétuité. 
Et ambulábo in latitúdine, * quia mandáta tua exquisívi.;Je marcherai au large, car je recherche tes ordonnances. 
Et loquar de testimóniis tuis in conspéctu regum * et non confúndar.;Je parlerai de tes enseignements devant les rois, et je n'aurai point de honte. 
Et delectábor in præcéptis tuis, * quæ diléxi.;Je ferai mes délices de tes commandements, car je les aime. 
"Et levábo manus meas ad præcépta tua, quæ diléxi; * et exercébor in iustificatiónibus tuis.";J'élèverai mes mains vers tes commandements que j'aime, et je méditerai tes lois.
