Psalmus 118 (119), 105-112;Psaume 118 (119), 105-112 XIV (Nun)
XIV (Nun);XIV (Nun)
;
;
Lucérna pédibus meis verbum tuum * et lumen sémitis meis.;Ta parole est un flambeau devant mes pas, une lumière sur mon sentier. 
Iurávi et státui * custodíre iudícia iustítiæ tuæ.;J'ai juré, et j'y serai fidèle, d'observer les préceptes de ta justice. 
"Humiliátus sum usquequáque, Dómine; * vivífica me secúndum verbum tuum.";Je suis réduit à une extrême affliction: Le Seigneur, rends-moi la vie, selon ta parole. 
Voluntária oris mei beneplácita sint, Dómine, * et iudícia tua doce me.;Agrée, le Seigneur, l'offrande de mes lèvres, et enseigne-moi tes préceptes. 
Anima mea in mánibus meis semper, * et legem tuam non sum oblítus.;Ma vie est continuellement dans mes mains, et je n'oublie point ta loi. 
Posuérunt peccatóres láqueum mihi, * et mandátis tuis non errávi.;Les méchants me tendent des pièges, et je ne m'égare pas loin de tes ordonnances. 
Heréditas mea testimónia tua in ætérnum, * quia exsultátio cordis mei sunt.;J'ai tes enseignements pour toujours en héritage, car ils sont la joie de mon coeur. 
Inclinávi cor meum ad faciéndas iustificatiónes tuas * in ætérnum, in finem.;J'ai incliné mon coeur à observer tes lois, toujours, jusqu'à la fin. 
