Psalmus 118 (119), 145-152;Psaume 118 (119), 145-152
XIX (Coph);XIX (Coph)
;
;
"Clamávi in toto corde, exáudi me, Dómine; * iustificatiónes tuas servábo.";"Je t'invoque de tout mon coeur; exauce-moi, le Seigneur, afin que je garde tes lois. "
Clamávi ad te, salvum me fac, * ut custódiam testimónia tua.;Je t'invoque, sauve-moi, afin que j'observe tes enseignements. 
Prævéni dilúculo et clamávi, * in verba tua supersperávi. ;"Je devance l'aurore, et je crie vers toi; j'espère en ta parole. "
Prævenérunt óculi mei vigílias * ut meditárer elóquia tua.;Mes yeux devancent les veilles de la nuit, pour méditer ta parole. 
Vocem meam audi secúndum misericórdiam tuam, Dómine, * secúndum iudícium tuum vivífica me. ;"Ecoute ma voix selon ta bonté; Le Seigneur, rends-moi la vie selon ton jugement. "
Appropinquavérunt persequéntes me in malítia, * a lege autem tua longe facti sunt.;Ils s'approchent, ceux qui poursuivent le crime, qui se sont éloignés de ta loi.
Prope es tu, Dómine, * et ómnia præcépta tua véritas. ;Tu es proche, le Seigneur, et tous tes commandements sont la vérité. 
Ab inítio cognóvi de testimóniis tuis, * quia in ætérnum fundásti ea.;Dès longtemps je sais, au sujet de tes enseignements, que tu les as établis pour toujours. 
