Psalmus 118 (119), 153-160 ;Psaume 118 (119), 153-160 
XX (Res);XX (Res)
;
;
Vide humiliatiónem meam et éripe me, * quia legem tuam non sum oblítus.;Vois ma misère, et délivre-moi, car je n'oublie pas ta loi. 
"Iúdica causam meam et rédime me; * propter elóquium tuum vivífica me.";Défends ma cause et sois mon vengeur, rends-moi la vie selon ta parole. 
Longe a peccatóribus salus, * quia iustificatiónes tuas non exquisiérunt.;Le salut est loin des méchants, car ils ne s'inquiètent pas de tes lois. 
"Misericórdiæ tuæ multæ, Dómine; * secúndum iudícia tua vivífica me.";"Tes miséricordes sont nombreuses, le Seigneur; rends-moi la vie selon tes jugements."
"Multi, qui persequúntur me et tríbulant me; * a testimóniis tuis non declinávi.";"Nombreux sont mes persécuteurs et mes ennemis; je ne m'écarte point de tes enseignements."
Vidi prævaricántes, et tæduit me, * quia elóquia tua non custodiérunt.;A la vue des infidèles, j'ai ressenti de l'horreur, parce qu'ils n'observent pas ta parole. 
"Vide quóniam mandáta tua diléxi, Dómine; * secúndum misericórdiam tuam vivífica me.";"Considère que j'aime tes ordonnances; Le Seigneur, rends-moi la vie selon ta  bonté. "
Princípium verbórum tuórum véritas, * in ætérnum ómnia iudícia iustítiæ tuæ.;Le résumé de ta parole est la vérité, et toutes les lois de ta justice sont éternelles.
