Psalmus 11 (12) - Divisio;Psaume 11 (12) - Divsion
;
;
;
Salvum me fac, Dómine, quóniam defécit sanctus, * quóniam deminúti sunt fidéles a fíliis hóminum.;Sauve, Seigneur ! car les hommes pieux s'en vont, les fidèles disparaissent d'entre les enfants des hommes.
"Vana locúti sunt unusquísque ad próximum suum; * in lábiis dolósis, in dúplici corde locúti sunt.";"On se dit des mensonges les uns aux autres; on parle avec des lèvres flatteuses et un coeur double."
Dispérdat Dóminus univérsa lábia dolósa * et linguam magníloquam.;Que le Seigneur retranche toutes les lèvres flatteuses, la langue qui discourt avec jactance,
"Qui dixérunt: «Lingua nostra magnificábimur, + lábia nostra a nobis sunt; * quis noster dóminus est?».";"ceux qui disent: "" Par notre langue nous sommes forts; nous avons avec nous nos lèvres: qui serait notre maitre? """
"«Propter misériam ínopum et gémitum páuperum, + nunc exsúrgam, dicit Dóminus; * ponam in salutári illum, quem despíciunt».";" A cause de l'oppression des affligés, du gémissement des pauvres, je veux maintenant me lever, dit le Seigneur ; je leur apporterai le salut après lequel ils soupirent. "
Elóquia Dómini elóquia casta, * argéntum igne examinátum, separátum a terra, purgátum séptuplum.;Les paroles du Seigneur sont des paroles pures, un argent fondu dans un creuset sur la terre, sept fois purifié.
Tu, Dómine, servábis nos et custódies nos * a generatióne hac in ætérnum.;"Toi, Seigneur, tu les garderas; tu les préserveras à jamais de cette génération."
In circúitu ímpii ámbulant, * cum exaltántur sordes inter fílios hóminum.;Autour d'eux les méchants se promènent avec arrogance: autant ils s'élèvent, autant seront humiliés les enfants des hommes.
