Psalmus 123 (124) ;Psaume 123 (124)
Adiutorium nostrum in nomine Domini;Notre secours est dans le nom du Seigneur
Dixit Dominus Paulo: «Noli timere ... quia ego sum tecum» (Act 18, 9-10).;Le Seigneur dit à Paul : «ne crains pas ... Je suis avec toi» (Act 18, 9-10).

Nisi quia Dóminus erat in nobis, dicat nunc Israel, nisi quia Dóminus erat in nobis, * cum exsúrgerent hómines in nos:;Si le Seigneur n'eût été pour nous, qu'Israël le proclame, si le Seigneur n'eût été pour nous, quand les hommes se sont élevés contre nous !
forte vivos deglutíssent nos, * cum irascerétur furor eórum in nos.;"Ils nous auraient dévorés tout vivants, quand leur colère s'est allumée contre nous; "
Fórsitan aqua absorbuísset nos, torrens pertransísset ánimam nostram * fórsitan pertransíssent ánimam nostram aquæ intumescéntes.;"les eaux nous auraient engloutis, le torrent eût passé sur notre âme; sur notre âme auraient passé les eaux impétueuses."
"Benedíctus Dóminus; * qui non dedit nos in direptiónem déntibus eórum.";Béni soit le Seigneur, qui ne nous a pas livrés à leurs dents!
Anima nostra sicut passer erépta est * de láqueo venántium:;"Notre âme, comme le passereau, s'est échappée du filet de l'oiseleur;"
láqueus contrítus est, * et nos erépti sumus.;le filet s'est rompu, et nous avons été délivrés.
Adiutórium nostrum in nómine Dómini, * qui fecit cælum et terram.;Notre secours est dans le nom du Seigneur, qui a fait les cieux et la terre.
