Psalmus 134 (135) ;Psaume 134 (135)
Laus Domini mirabilia operantis;Louange au Dieu qui fait des merveilles
Populus in acquisitionem... annuntiate virtutes eius qui de tenebris vos vocavit in admirabile lumen suum (Cf. 1 Petr 2, 9).;Le peuple qu’il s’est acquis... afin que vous annonciez les perfections de Celui qui vous a appelés des ténèbres à son admirable lumière (Cf. 1 Petr 2, 9).
I;I
Laudáte nomen Dómini, * laudáte, servi Dómini,;Louez le nom du Seigneur, * louez-le, serviteurs du Seigneur, 
qui statis in domo Dómini, * in átriis domus Dei nostri.;vous qui êtes de service dans la maison du Seigneur, dans les parvis de la maison de notre Dieu. 
"Laudáte Dóminum, quia bonus Dóminus; * psállite nómini eius, quóniam suáve.";"Louez le Seigneur, car le Seigneur est bon; chantez son nom sur la harpe, car il est plein de douceur. "
Quóniam Iacob elégit sibi Dóminus, * Israel in pecúlium sibi.;Car le Seigneur s'est choisi Jacob, il s'est choisi Israël pour en faire son héritage. 
Quia ego cognóvi quod magnus est Dóminus * et Deus noster præ ómnibus diis.;Oui, je le sais, le Seigneur est grand, notre Seigneur est au-dessus de tous les dieux. 
Omnia, quæcúmque vóluit, Dóminus fecit in cælo et in terra, * in mari et in ómnibus abyssis.;Tout ce que veut le Seigneur, il le fait, dans les cieux et sur la terre, dans la mer et dans tous les abîmes. 
Addúcens nubes ab extrémo terræ, fúlgura in plúviam facit, * prodúcit ventos de thesáuris suis.;Il fait monter les nuages des extrémités de la terre, il produit les éclairs avec la pluie, il tire le vent de ses trésors. 
Qui percússit primogénita ægypti * ab hómine usque ad pecus.;Il frappa jadis les premiers-nés de l'Egypte, depuis l'homme jusqu'à l'animal. 
Misit signa et prodígia in médio tui, ægypte, * in pharaónem et in omnes servos eius.; Il fit éclater des signes et des prodiges au milieu de toi, ô Egypte, contre Pharaon et tous ses serviteurs. 
Qui percússit gentes multas * et occídit reges fortes:;Il frappa des nations nombreuses, et fit mourir des rois puissants: 
Sehon regem Amorræórum et Og regem Basan * et ómnia regna Chánaan.;Séhon, roi des Amorrhéens, Og, roi de Basan, et tous les rois de Chanaan. 
Et dedit terram eórum hereditátem, * hereditátem Israel pópulo suo.;Et il donna leur pays en héritage, en héritage à Israël, son peuple. 
