Psalmus 135 (136);Psaume 135 (136)
Hymnus paschalis;Hymne pascale
Domini res gestas narrare laudare est (Cassiodorus ).;Raconter les hauts faits accomplis par le Seigneur, c’est le louer.  (Cassiodore ).
;
Confitémini Dómino, quóniam bonus, * quóniam in ætérnum misericórdia eius.;Célébrez le Seigneur, car il est bon, car sa miséricorde est éternelle.
Confitémini Deo deórum, * quóniam in ætérnum misericórdia eius. ;Célébrez le Dieu des dieux, car sa miséricorde est éternelle. 
Confitémini Dómino dominórum, * quóniam in ætérnum misericórdia eius.;Célébrez le Seigneur des seigneurs, car sa miséricorde est éternelle. 
Qui facit mirabília magna solus, * quóniam in ætérnum misericórdia eius. ;A celui qui seul opère de grands prodiges, car sa miséricorde est éternelle. 
Qui fecit cælos in intelléctu, * quóniam in ætérnum misericórdia eius. ;Qui a fait les cieux avec sagesse, car sa miséricorde est éternelle.
Qui expándit terram super aquas, * quóniam in ætérnum misericórdia eius.;Qui a étendu la terre sur les eaux, car sa miséricorde est éternelle.
"Qui fecit luminária magna, * quóniam in ætérnum misericórdia eius; ";Qui a fait les grands luminaires, car sa miséricorde est éternelle. 
"solem, ut præésset diéi, * quóniam in ætérnum misericórdia eius; ";Le soleil pour dominer sur le jour, car sa miséricorde est éternelle. 
lunam et stellas, ut præéssent nocti, * quóniam in ætérnum misericórdia eius.;La lune et les étoiles pour dominer sur la nuit, car sa miséricorde est éternelle
