Psalmus 142 (143), 1-11;Psaume 142 (143), 1-11
In angustiis oratio;Prière dans l’angoisse
Non iustificatur homo ex operibus legis nisi per fidem Iesu Christi (Gal 2, 16).;L’homme n’est pas purifié par l’observance de la loi, mais par la foi en Jésus-Christ (Gal 2, 16)
;
"Dómine, exáudi oratiónem meam, + áuribus pércipe obsecratiónem meam in veritáte tua; * exáudi me in tua iustítia.";"Seigneur, écoute ma prière; prête l'oreille à mes supplications; exauce-moi dans ta vérité et dans ta justice. "
Et non intres in iudícium cum servo tuo, * quia non iustificábitur in conspéctu tuo omnis vivens.;N'entre pas en jugement avec ton serviteur, car aucun homme vivant n'est juste devant toi. 
Quia persecútus est inimícus ánimam meam, + contrívit in terra vitam meam, * collocávit me in obscúris sicut mórtuos a sæculo.;"L'ennemi en veut à mon âme, il foule à terre ma vie; il me relègue dans les lieux ténébreux, comme ceux qui sont morts depuis longtemps. "
Et anxiátus est in me spíritus meus, * in médio mei obríguit cor meum.;Mon esprit défaille en moi, mon coeur est troublé dans mon sein. 
Memor fui diérum antiquórum, meditátus sum in ómnibus opéribus tuis, * in factis mánuum tuárum recogitábam.;Je pense aux jours d'autrefois, je médite sur toutes tes oeuvres, je réfléchis sur l'ouvrage de tes mains.
Expándi manus meas ad te, * ánima mea sicut terra sine aqua tibi.;J'étends vers toi mes mains, et mon âme, comme une terre desséchée, soupire après toi. 
"Velóciter exáudi me, Dómine; * defécit spíritus meus.";Hâte-toi de m'exaucer, le Seigneur, mon esprit défaille. 
Non abscóndas fáciem tuam a me, * ne símilis fiam descendéntibus in lacum.;Ne me cache pas ta face, je deviens semblable à ceux qui descendent dans la fosse.
Audítam fac mihi mane misericórdiam tuam, * quia in te sperávi.;Fais-moi de bonne heure sentir ta bonté, car c'est en toi que j'espère. 
Notam fac mihi viam, in qua ámbulem, * quia ad te levávi ánimam meam.;Fais-moi connaître la voie où je dois marcher, car c'est vers toi que j'élève mon âme. 
Eripe me de inimícis meis, * Dómine, ad te confúgi.;Délivre-moi de mes ennemis, le Seigneur, je me réfugie auprès de toi. 
Doce me fácere voluntátem tuam, * quia Deus meus es tu.;Apprends-moi à faire ta volonté, car tu es mon Dieu. 
"Spíritus tuus bonus dedúcet me in terram rectam; * propter nomen tuum, Dómine, vivificábis me.";Que ton bon esprit me conduise dans la voie droite! A cause de ton nom, le Seigneur, rends-moi la vie. 
In iustítia tua * edúces de tribulatióne ánimam meam.;Dans ta justice, retire mon âme de la détresse. 
