Psalmus 143 (144), 1-10;Psaume 143 (144), 1-10
Pro victoria et pace;Pour la victoire et la paix
Omnia possum in eo qui me confortat (Phil 4, 13).;Omnia possum in eo qui me confortat (Phil 4, 13).
;
Benedíctus Dóminus, adiútor meus,  qui docet manus meas ad prœlium * et dígitos meos ad bellum. ;Béni soit le Seigneur, mon rocher, qui a dressé mes mains au combat, et mes doigts à la guerre, 
"Misericórdia mea et fortitúdo mea, * refúgium meum et liberátor meus; ";mon bienfaiteur et ma forteresse, ma haute retraite et mon libérateur, 
scutum meum, et in ipso sperávi, * qui subdit pópulum meum sub me.;mon bouclier, celui qui est mon refuge, qui range mon peuple sous moi! 
Dómine, quid est homo, quod agnóscis eum, * aut fílius hóminis, quod réputas eum? ;Seigneur, qu'est-ce que l'homme pour que tu le connaisses, le fils de l'homme, pour que tu prennes garde à lui? 
Homo vanitáti símilis factus est, * dies eius sicut umbra prætériens.;L'homme est semblable à un souffle, ses jours sont comme l'ombre qui passe. 
"Dómine, inclína cælos tuos et descénde; * tange montes, et fumigábunt. ";"Seigneur, abaisse tes cieux et descends; touche les montagnes, et qu'elles s'embrasent;"
"Fúlgura coruscatiónem et díssipa eos; * emítte sagíttas tuas et contúrba eos. ";"fais briller les éclairs, et disperse les ennemis; lance tes flèches, et mets-les en déroute."
"Emítte manum tuam de alto; * éripe me et líbera me de aquis multis, ";Etends tes mains d'en haut, délivre-moi et sauve-moi des grandes eaux, 
de manu filiórum alienigenárum,  quorum os locútum est vanitátem, * et déxtera eórum déxtera mendácii.;de la main des fils de l'étranger, dont la bouche profère le mensonge, et dont la droite est une droite parjure. 
Deus, cánticum novum cantábo tibi, * in psaltério decachórdo psallam tibi, ;O Dieu, je te chanterai un cantique nouveau, je te célébrerai sur le luth à dix cordes. 
qui das salútem régibus, * qui rédimis David servum tuum  de gládio malígno.;Toi qui donnes au rois la victoire, qui sauves du glaive meurtrier David, ton serviteur.
