Psalmus 16 (17) 1-6;Psaume 16 (17) 1-6
Ab impiis salva me, Domine;Des impies, sauve-moi, Seigneur.
In diebus carnis suae. .. preces offerens et exauditus (Hebr 5, 7).;Lui qui, aux jours de sa chair, avait présenté ses prières, a été exaucé (Hebr 5, 7).
I;I
Exaudi, Domine, iustitiam meam, intende deprecationem meam. Auribus percipe orationem meam, non in labiis dolosis.;"Seigneur, entends la justice, écoute mon cri ; prête l'oreille à ma prière, qui n'est pas proférée par des lèvres trompeuses."
"De vultu tuo iudicium meum prodeat; oculi tui videant aequitates.";Que mon jugement sorte de ta face, que tes yeux regardent l'équité ! 
"Proba cor meum et visita nocte; igne me examina, et non invenies in me iniquitatem.";Tu as éprouvé mon coeur, tu l'as visité la nuit, tu m'as mis dans le creuset : tu ne trouves rien. Avec ma pensée ma bouche n'est pas en désaccord. 
Non transgreditur os meum ad opera hominum, propter verba labiorum tuorum custodivi me a viis violenti.;"Quant aux actions de l'homme, fidèle à la parole de tes lèvres; j'ai pris garde aux voies des violents. "
Retine gressus meos in semitis tuis, ut non moveantur vestigia mea.;Mes pas se sont attachés à tes sentiers, et mes pieds n'ont pas chancelé. 
"Ego ad te clamavi, quoniam exaudis me, Deus; inclina aurem tuam mihi et exaudi verba mea.";"Je t'invoque, car tu m'exauces, ô Dieu ; incline vers moi ton oreille, écoute ma prière."
Mirífica misericórdias tuas, * qui salvos facis ab insurgéntibus  sperántes in déxtera tua. ;Fais éclater tes miséricordes, toi qui sauves les insurgés et ceux qui espèrent à ta droite.
Custódi me ut pupíllam óculi,  sub umbra alárum tuárum prótege me * a fácie impiórum, qui me afflixérunt.;"Garde-moi comme la prunelle de l'oeil ; à l'ombre de tes ailes mets-moi à couvert des impies qui me persécutent."
"Inimíci mei in furóre circumdedérunt me,  ádipem suum conclusérunt; * os eórum locútum est supérbiam. ";Des ennemis mortels m'entourent. Ils ferment leurs entrailles à la pitié, ils ont à la bouche des paroles hautaines. 
Incedéntes nunc circumdedérunt me, * óculos suos statuérunt prostérnere in terram. ;Ils sont sur nos pas, ils nous entourent, ils nous épient pour nous renverser par terre. 
Aspéctus eórum quasi leónis paráti ad prædam * et sicut cátuli leónis recubántis in ábditis.;Ils ressemblent au lion avide de dévorer, au lionceau campé dans son fourré. 
"Exsúrge, Dómine, præveni eum, supplánta eum; * éripe ánimam meam ab ímpio frámea tua, ";"Lève-toi, le Seigneur, marche à sa rencontre, terrasse-le; délivre mon âme du méchant par ton glaive, "
a mórtuis manu tua, Dómine, * a mórtuis, quorum defécit pórtio vitæ. ;des hommes par ta main, de ces hommes du siècle dont la part est dans la vie présente, 
De recónditis tuis adímpleas ventrem eórum, * saturéntur fílii  et dimíttant relíquias párvulis suis. ;dont tu remplis le ventre de tes trésors, qui sont rassasiés de fils, et laissent leur superflu à leurs petits-fils. 
Ego autem in iustítia vidébo fáciem tuam, * satiábor, cum evigilávero, conspéctu tuo.;"Pour moi, dans mon innocence je contemplerai ta face ; à mon réveil, je me rassasierai de ton image."
