Psalmus 16 (17) 1-6;Psaume 16 (17) 1-6
Ab impiis salva me, Domine;Des impies, sauve-moi, Seigneur.
In diebus carnis suae. .. preces offerens et exauditus (Hebr 5, 7).;Lui qui, aux jours de sa chair, avait présenté ses prières, a été exaucé (Hebr 5, 7).
B;B
"Ego ad te clamavi, quoniam exaudis me, Deus; inclina aurem tuam mihi et exaudi verba mea.";"Je t'invoque, car tu m'exauces, ô Dieu ; incline vers moi ton oreille, écoute ma prière."
Mirífica misericórdias tuas, * qui salvos facis ab insurgéntibus  sperántes in déxtera tua. ;Fais éclater tes miséricordes, toi qui sauves les insurgés et ceux qui espèrent à ta droite.
Custódi me ut pupíllam óculi,  sub umbra alárum tuárum prótege me * a fácie impiórum, qui me afflixérunt.;"Garde-moi comme la prunelle de l'oeil ; à l'ombre de tes ailes mets-moi à couvert des impies qui me persécutent."
"Inimíci mei in furóre circumdedérunt me,  ádipem suum conclusérunt; * os eórum locútum est supérbiam. ";Des ennemis mortels m'entourent. Ils ferment leurs entrailles à la pitié, ils ont à la bouche des paroles hautaines. 
Incedéntes nunc circumdedérunt me, * óculos suos statuérunt prostérnere in terram. ;Ils sont sur nos pas, ils nous entourent, ils nous épient pour nous renverser par terre. 
Aspéctus eórum quasi leónis paráti ad prædam * et sicut cátuli leónis recubántis in ábditis.;Ils ressemblent au lion avide de dévorer, au lionceau campé dans son fourré. 
"Exsúrge, Dómine, præveni eum, supplánta eum; * éripe ánimam meam ab ímpio frámea tua, ";"Lève-toi, le Seigneur, marche à sa rencontre, terrasse-le; délivre mon âme du méchant par ton glaive, "
