Psalmus 16 (17) - Divisio;Psaume 16 (17) - Division
;
;
;
"Inimíci mei in furóre circumdedérunt me, + ádipem suum conclusérunt; * os eórum locútum est supérbiam. ";Des ennemis mortels m'entourent. Ils ferment leurs entrailles à la pitié, ils ont à la bouche des paroles hautaines. 
Incedéntes nunc circumdedérunt me, * óculos suos statuérunt prostérnere in terram. ;Ils sont sur nos pas, ils nous entourent, ils nous épient pour nous renverser par terre. 
Aspéctus eórum quasi leónis paráti ad prædam * et sicut cátuli leónis recubántis in ábditis.;Ils ressemblent au lion avide de dévorer, au lionceau campé dans son fourré. 
"Exsúrge, Dómine, præveni eum, supplánta eum; * éripe ánimam meam ab ímpio frámea tua, ";"Lève-toi, le Seigneur, marche à sa rencontre, terrasse-le; délivre mon âme du méchant par ton glaive, "
a mórtuis manu tua, Dómine, * a mórtuis, quorum defécit pórtio vitæ. ;des hommes par ta main, de ces hommes du siècle dont la part est dans la vie présente, 
De recónditis tuis adímpleas ventrem eórum, * saturéntur fílii  et dimíttant relíquias párvulis suis. ;dont tu remplis le ventre de tes trésors, qui sont rassasiés de fils, et laissent leur superflu à leurs petits-fils. 
Ego autem in iustítia vidébo fáciem tuam, * satiábor, cum evigilávero, conspéctu tuo.;"Pour moi, dans mon innocence je contemplerai ta face ; à mon réveil, je me rassasierai de ton image."
