Psalmus 17A (18) 8-16;Psaume 17A (18) 8-16
;
;
II;II
"Commota est et contremuit terra; fundamenta montium concussa sunt et commota sunt, quoniam iratus est.";"La terre fut ébranlée et trembla, les fondements des montagnes s'agitèrent, et ils furent ébranlés, parce qu'il était courroucé;"
"Ascendit fumus de naribus eius, et ignis de ore eius devorans; carbones succensi processerunt ab eo.";"une fumée montait de ses narines, et un feu dévorant sortait de sa bouche; il en jaillissait des charbons embrasés."
Inclinavit caelos et descendit, et caligo sub pedibus eius.;"il abaissa les cieux, et descendit; une sombre nuée était sous ses pieds."
Et ascendit super cherub et volavit, ferebatur super pennas ventorum.;"II monta sur un Chérubin, et il volait; il planait sur les ailes du vent."
Et posuit tenebras latibulum suum, in circuitu eius tabernaculum eius, tenebrosa aqua, nubes aeris.;Il fit des ténèbres sa retraite, sa tente autour de lui c'étaient des eaux obscures et de sombres nuages.
Prae fulgore in conspectu eius nubes transierunt, grando et carbones ignis.;De l'éclat qui le précédait s'élancèrent ses nuées, portant la gréle et les charbons ardents.
Et intonuit de caelo Dominus, et Altissimus dedit vocem suam: grando et carbones ignis.;Le Seigneur tonna dans les cieux, le Très-Haut fit retentir sa voix: grêle et charbons ardents!
Et misit sagittas suas et dissipavit eos, fulgura iecit et conturbavit eos.;"Il lança ses flèches et les dispersa; il multiplia ses foudres et il les confondit."
Et apparuerunt fontes aquarum, et revelata sunt fundamenta orbis terrarum ab increpatione tua, Domine, ab inspiratione spiritus irae tuae.;Alors le lit des eaux apparut, les fondements de la terre furent mis à nu, à ta menace, Seigneur, au souffle du vent de tes narines.
