Psalmus 17 (18) 2-25;Psaume 17A (18) 17-25
;
;
III;III
"Misit de summo et accepit me et assumpsit me de aquis multis;";Il étendit sa main d'en haut et me saisit, il me retira des grandes eaux.
eripuit me de inimicis meis fortissimis et ab his, qui oderunt me, quoniam confortati sunt super me.;II me délivra de mon ennemi puissant, de ceux qui me haïssaient, alors qu'ils étaient plus forts que moi.
"Oppugnaverunt me in die afflictionis meae, et factus est Dominus fulcimentum meum;";"Ils m'avaient surpris au jour de mon malheur; mais le Seigneur fut mon appui."
et eduxit me in latitudinem, salvum me fecit, quoniam voluit me.;II m'a mis au large, il m'a sauvé, parce qu'il s'est complu en moi.
Et retribuet mihi Dominus secundum iustitiam meam et secundum puritatem manuum mearum reddet mihi,;le Seigneur m'a récompensé selon ma justice, il m'a rendu selon la pureté de mes mains.
quia custodivi vias Domini nec impie recessi a Deo meo.;Car j'ai gardé les voies du seigneur, et je n'ai pas péché, pour m'éloigner de mon Dieu.
"Quoniam omnia iudicia eius in conspectu meo, et iustitias eius non reppuli a me;";"Tous ses jugements étaient devant moi; et je n'ai point rejeté loin de moi ses lois."
et fui immaculatus cum eo et observavi me ab iniquitate.;J'étais sans reproche envers lui, et je me tenais en garde contre mon iniquité.
Et retribuit mihi Dominus secundum iustitiam meam et secundum puritatem manuum mearum in conspectu oculorum eius.;Le Seigneur m'a rendu selon ma justice, selon la pureté de mes mains devant ses yeux.
