Psalmus 17 (18) 26-51;Psaume 17 (18) 26-51
Gratiarum actio;Action de grace
Si deus pro nobis, quis contra nos (Rom 8,31);Si Dieu est pour nous, qui sera contre nous ? 
II;II
Cum sancto sanctus eris * et cum viro innocénte ínnocens eris;"Avec celui qui est bon tu te montres bon, avec l'homme droit tu te montres droit;"
et cum elécto eléctus eris * et cum pervérso cállidus eris.;avec celui qui est pur tu te montres pur, et avec le fourbe tu agis perfidement.
Quóniam tu pópulum húmilem salvum fácies * et óculos superbórum humiliábis.;Car tu sauves le peuple humilié, et tu abaisses les regards hautains.
"Quóniam tu accéndis lucérnam meam, Dómine; * Deus meus illúminat ténebras meas.";"Oui, tu fais briller mon flambeau; Yahweh, mon Dieu, éclaire mes ténèbres."
Quóniam in te aggrédiar hóstium turmas * et in Deo meo transíliam murum.;"Avec toi je me précipite sur les bataillons armés; avec mon Dieu je franchis les murailles."
"Deus, impollúta via eius, + éloquia Dómini igne examináta; * protéctor est ómnium sperántium in se.";"Dieu!... Ses voies sont parfaites; la parole de Yahweh est éprouvée, il est un bouclier pour tous ceux qui se confient en 1ui."
Quóniam quis Deus præter Dóminum ? * Aut quæ munítio præter Deum nostrum?;Car qui est Dieu, si ce n'est Yahweh. et qui est un rocher, si ce n'est notre Dieu?
"Deus, qui præcínxit me virtúte * et pósuit immaculátam viam meam;";"Le Dieu qui me ceint de force, qui rend ma voie parfaite;"
"qui perfécit pedes meos tamquam cervórum * et super excélsa státuit me;";"qui rend mes pieds semblables à ceux des biches, et me fait tenir debout sur mes hauteurs;"
qui docet manus meas ad próelium, * et tendunt arcum áereum bráchia mea.;qui forme mes mains au combat, et mes bras tendent l'arc d'airain.
Et dedísti mihi scutum salútis tuæ, + et déxtera tua suscépit me, * et exaudítio tua magnificávit me.;Tu m'as donné le bouclier de ton salut, et ta droite me soutient, et ta douceur me fait grandir.
Dilatásti gressus meos subtus me, * et non sunt infirmáta vestígia mea.;Tu élargis mon pas au-dessous de moi, et mes pieds ne chancellent point.
Persequébar inimícos meos et comprehendébam illos * et non convertébar, donec defícerent.;"Je poursuis mes ennemis et je les atteins; je ne reviens pas sans les avoir anéantis."
Confringébam illos, nec póterant stare, * cadébant subtus pedes meos.;"Je les brise, et ils ne se relèvent pas; Ils tombent sous mes pieds."
Et præcinxísti me virtúte ad bellum * et supplantásti insurgéntes in me subtus me.;Tu me ceins de force pour 1e combat, tu fais plier sous moi mes adversaires.
Et inimícos meos dedísti mihi dorsum * et odiéntes me disperdidísti.;"Mes ennemis!... tu leur fais tourner le dos devant moi; et j'extermine ceux qui me haissent."
Clamavérunt, nec erat qui salvos fáceret, * ad Dóminum, nec exaudívit eos.;Ils crient, et personne pour les sauver! Ils crient vers Yahweh, et il ne leur répond pas!
Et commínui eos ut púlverem ante fáciem venti, * ut lutum plateárum contrívi eos.;Je les broie comme la poussière livrée au vent, je les balaie comme la boue des rues.
Eripuísti me de contradictiónibus pópuli, * constituísti me in caput gentium.;"Tu me délivres des révoltes du peuple, tu me mets à la téte des nations; Des peuples que je ne connaissais pas me sont asservis."
Pópulus, quem non cognóvi, servívit mihi, * in audítu auris obœdívit mihi.;"Dès qu'ils ont entendu, ils m'obéissent; les fils de l'étranger me flattent."
Filii aliéni blandíti sunt mihi, + filii aliéni inveteráti sunt, * contremuérunt in ábditis suis.;Les fils de l'étranger sont défaillants, ils sortent tremblants de leurs forteresses.
Vivit Dóminus, et benedíctus Adiútor meus, * et exaltétur Deus salútis meæ.;"Vive Yahweh et béni soit mon rocher! Que le Dieu de mon salut soit exalté;"
"Deus, qui das vindíctas mihi + et subdis pópulos sub me, * liberátor meus de inimícis meis iracúndis;";Dieu qui m'accorde des vengeances, qui me soumet les peuples
et ab insurgéntibus in me exáltas me, * a viro iníquo éripis me.;qui me délivre de mes ennemis! Oui, tu m'élèves au-dessus de mes adversaires, tu me sauves de l'homme de violence.
Proptérea confitébor tibi in natiónibus, Dómine, * et nómini tuo psalmum dicam,;"C'est pourquoi je te louerai parmi les nations, ô Yahweh; je chanterai à la gloire de ton nom:"
magníficans salútes regis sui + et fáciens misericórdiam christo suo, * David et sémini eius usque in sáeculum.;Il accorde de glorieuses délivrances à son roi, il fait miséricorde à son oint, à David et à sa postérité pour toujours.
