Psalmus 18 B (19 B);Psaume 18 B (19 B)
Laus Deo, legis Domino;Louange à Dieu, loi au Seigneur
Estote vos perfecti, sicut et Pater vester cælestis perfectus est (Mt 5, 48).;Soyez parfaits, comme votre Père du ciel est parfait (Mt 5, 48).

Lex Dómini immaculáta, refíciens ánimam, * testimónium Dómini fidéle, sapiéntiam præstans párvulis.;La loi du Seigneur est parfaite : elle restaure l'âme. Le témoignage du Seigneur est sûr : il donne la sagesse aux simples. 
Iustítiæ Dómini rectæ, lætificántes corda, * præcéptum Dómini lúcidum, illúminans óculos.;Les ordonnances du Seigneur sont droites elles réjouissent les coeurs. Le précepte du Seigneur est pur : il éclaire les yeux. 
Timor Dómini mundus, pérmanens in sæculum sæculi, * iudícia Dómini vera, iusta ómnia simul, ;La crainte du Seigneur est sainte : elle subsiste à jamais. Les décrets du Seigneur sont vrais : ils sont tous justes. 
desiderabília super aurum et lápidem pretiósum multum * et dulcióra super mel et favum stillántem.;"Ils sont plus précieux que l'or, que beaucoup d'or fin ; plus doux que le miel, que celui qui coule des rayons. "
"Etenim servus tuus erudítur in eis; * in custodiéndis illis retribútio multa. ";"Ton serviteur aussi est éclairé par eux; grande récompense à qui les observe. "
Erróres quis intéllegit? Ab occúltis munda me, * et a supérbia custódi servum tuum, ne dominétur mei.;"Qui est maître de ses égarements? Pardonne-moi ceux que j'ignore ! Préserve aussi ton serviteur des orgueilleux ; qu'ils ne dominent point sur moi ! "
Tunc immaculátus ero * et emundábor a delícto máximo.;Alors je serai parfait et je serai pur de grands péchés. 
Sint ut compláceant elóquia oris mei * et meditátio cordis mei in conspéctu tuo. ;Accueille avec faveur les paroles de ma bouche, et 1es sentiments de mon coeur,
Dómine, adiútor meus * et redémptor meus.;Devant toi, le Seigneur, mon rocher est mon libérateur! 
