Psalmus 20 (21), 2-8. 14;Psaume 20 (21), 2-8. 14
Gratiarum actio pro regis victoria;Action de grâce pour la victoire du Roi
Accepit vitam, ut resurgeret, et longitudinem dierum in sæculum sæculi (S. Irenæus).;Il a reçu la vie, le Ressuscité, pour la suite des jours, au long des siècles. (S. Irénée).

Dómine in virtúte tua lætábitur rex, * et super salutáre tuum exsultábit veheménter. ;"Seigneur, le roi se réjouit de ta force; comme ton secours le remplit d'allégresse ! "
Desidérium cordis eius tribuísti ei * et voluntátem labiórum eius non denegásti.;Tu lui as donné ce que son coeur désirait, tu n'as pas refusé ce que demandaient ses lèvres. 
"Quóniam prævenísti eum in benedictiónibus dulcédinis; * posuísti in cápite eius corónam de auro puríssimo. ";Car tu l'as prévenu de bénédictions exquises, tu as mis sur sa tête une couronne d'or pur. 
Vitam pétiit a te, et tribuísti ei, * longitúdinem diérum in sæculum et in sæculum sæculi.;II te demandait la vie, tu la lui as donnée, de longs jours à jamais et à perpétuité. 
"Magna est glória eius in salutári tuo, * magnificéntiam et decórem impónes super eum; ";"Sa gloire est grande, grâce à ton secours; tu mets sur lui splendeur et magnificence. "
quóniam pones eum benedictiónem in sæculum sæculi, * lætificábis eum in gáudio ante vultum tuum. ;"Tu le rends à jamais un objet de bénédictions; tu le combles de joie devant ta face. "
Quóniam rex sperat in Dómino * et in misericórdia Altíssimi non commovébitur.;Car le roi se confie dans le Seigneur, et par la bonté du Très-Haut il ne chancelle point. 
"Exaltáre, Dómine, in virtúte tua; * cantábimus et psallémus virtútes tuas.";Lève-toi, le Seigneur, dans ta force ! Nous voulons chanter et célébrer ta puissance. 
