"&nbsp;";
"&nbsp;";
"&nbsp;";
III;III
Qui timétis Dóminum, laudáte eum, * univérsum semen Iacob, glorificáte eum.;Vous qui craignez le Seigneur, louez-le ! Vous tous, postérité de Jacob, glorifiez-le !
Métuat eum omne semen Israel, * quóniam non sprevit neque despéxit afflictiónem páuperis,;Révérez-le, vous tous, postérité d'Israël! Car il n'a pas méprisé, il n'a pas rejeté la souffrance de l'affligé, 
nec avértit fáciem suam ab eo * et, cum clamáret ad eum, exaudívit.;"il n'a pas caché sa face devant lui, et quand l'affligé a crié vers lui, il a entendu. "" "
"Apud te laus mea in ecclésia magna; * vota mea reddam in conspéctu timéntium eum.";Grâce à toi, mon hymne retentira dans la grande assemblée, j'acquitterai mes voeux en présence de ceux qui te craignent. 
Edent páuperes et saturabúntur, et laudábunt Dóminum, qui requírunt eum: * «Vivant corda eórum in sæculum sæculi!».;"Les affligés mangeront et se rassasieront ; ceux qui cherchent le Seigneur le loueront. Que votre coeur revive à jamais ! "
Reminiscéntur et converténtur ad Dóminum univérsi fines terræ, * et adorábunt in conspéctu eius univérsæ famíliæ géntium.;Toutes les extrémités de la terre se souviendront et se tourneront vers le Seigneur, et toutes les familles des nations se prosterneront devant sa face. 
Quóniam Dómini est regnum, * et ipse dominábitur géntium.;Car au Seigneur appartient l'empire, il domine sur les nations. 
"Ipsum solum adorábunt omnes, qui dórmiunt in terra; * in conspéctu eius prócident omnes, qui descéndunt in púlverem.";"Ils l’adoreront lui seul, ceux qui dorment dans la terre ; devant lui s'inclineront tous ceux qui descendent à la poussière, "
Anima autem mea illi vivet, * et semen meum sérviet ipsi.;"ceux qui ne peuvent prolonger leur vie. et ma postérité le servira ;"
Narrábitur de Dómino generatióni ventúræ, et annuntiábunt iustítiam eius pópulo, qui nascétur: * «Hæc fecit Dóminus!».;on parlera du Seigneur à la génération future. Ils viendront et ils annonceront sa justice, au peuple qui naîtra, ils diront « Le Seigneur a fait ces choses là ».
