Psalmus 22 (23);Psaume 22 (23)
Pastor bonus;Le bon pasteur
Agnus pascet illos et deducet eos ad vitae fontes aquarum (Ap 7, 17).;L'Agneau sera leur Pasteur pour les conduire vers les eaux de la source de vie. Ap 7, 17

Dóminus pascit me, et nihil mihi déerit: * in páscuis viréntibus me collocávit,;"Le Seigneur est mon pasteur; je ne manquerai de rien."
super aquas quiétis edúxit me, * ánimam meam refécit.;"II me fait reposer dans de verts pâturages, il me mène prés des eaux rafraîchissantes ; "
Dedúxit me super sémitas iustítiæ * propter nomen suum.;il restaure mon âme. Il me conduit dans les droits sentiers, à cause de son nom. 
Nam et si ambulávero in valle umbræ mortis, non timébo mala, * quóniam tu mecum es.;Même quand je marche dans une vallée d'ombre mortelle, je ne crains aucun mal, car tu es avec moi :
Virga tua et báculus tuus, * ipsa me consoláta sunt.;ta houlette et ton bâton me rassurent.
"Parásti in conspéctu meo mensam * advérsus eos, qui tríbulant me;";"Tu dresses devant moi une table en face de mes ennemis ;"
impinguásti in óleo caput meum, * et calix meus redúndat.;"tu répands l'huile sur ma tête; ma coupe est débordante. "
Etenim benígnitas et misericórdia subsequéntur me * ómnibus diébus vitæ meæ,;Oui, le bonheur et la grâce m'accompagneront, tous les jours de ma vie,
et inhabitábo in domo Dómini * in longitúdinem diérum.;et j'habiterai dans la maison du Seigneur, pour de longs jours. 
