Psalmus 2 - Divisio;Psaume 2 - Division
;
;
;
"Prædicábo decrétum eius.+ Dóminus dixit ad me: «Fílius meus es tu; * ego hódie génui te.";""" Je publierai le décret:  Yahweh m'a dit: Tu es mon Fils,  je t'ai engendré aujourd'hui."
Póstula a me, et dabo tibi gentes hereditátem tuam * et possessiónem tuam términos terræ.;Demande, et je te donnerai les nations pour héritage,  pour domaine les extrémités de la terre.
Reges eos in virga férrea * et tamquam vas fíguli confrínges eos».;"Tu les briseras avec un sceptre de fer,  tu les mettras en pièces comme le vase du potier."""
"Et nunc, reges, intellégite; * erudímini, qui iudicátis terram.";"Et maintenant, rois, devenez sages;  recevez l'avertissement, juges de la terre."
Servíte Dómino in timóre * et exsultáte ei cum tremóre.;Servez Yahweh avec crainte,  tressaillez de joie avec tremblement.
Apprehéndite disciplínam,+ ne quando irascátur, et pereátis de via, * cum exárserit in brevi ira eius.;"Baisez le Fils, de peur qu'il ne s'irrite  et que vous ne périssiez dans votre voie;  Car bientôt s'allumerait sa colère; "
Beáti omnes, * qui confídunt in eo.;Heureux tous ceux qui mettent en lui leur confiance.
