Psalmus 5, 2-10. 12-13;Psaume 5, 2-10. 12-13
Oratio matutina ad implorandum auxilium;Prière matinale pour implorer de l’aide
Verbo inhabitante, æternaliter exsultabunt qui eum intra se receperunt.;Ils se réjouiront sans fin, ceux chez qui habite le Verbe.
;
"Verba mea áuribus pércipe, Dómine; * intéllege gémitum meum. ";"Prête l'oreille à mes paroles, le Seigneur, entends mes soupirs; "
Inténde voci clamóris mei, * rex meus et Deus meus.;"sois attentif à mes cris, ô mon Roi et mon Dieu ; "
"Quóniam ad te orábo, Dómine, mane exáudies vocem meam; * mane astábo tibi et exspectábo.";"car c'est à toi que j'adresse ma prière. le Seigneur, dès le matin, tu entends ma voix ; dès le matin, je t'offre mes voeux et j'attends. "
"Quóniam non Deus volens iniquitátem tu es; neque habitábit iuxta te malígnus, * neque permanébunt iniústi ante óculos tuos.";"Car tu n'es pas un Dieu qui prenne plaisir au mal ; avec toi le méchant ne saurait habiter."
"Odísti omnes, qui operántur iniquitátem, perdes omnes, qui loquúntur mendácium; * virum sánguinum et dolósum abominábitur Dóminus. ";"Les insensés ne subsistent pas devant tes yeux ; tu hais tous les artisans d'iniquité. Tu fais périr les menteurs ; Le Seigneur abhorre l'homme de sang et de fraude."
"Ego autem in multitúdine misericórdiæ tuæ introíbo in domum tuam; * adorábo ad templum sanctum tuum in timóre tuo.";"Pour moi, par ta grande miséricorde, j’irai dans ta maison ; je me prosternerai, dans ta crainte, devant ton saint temple."
Dómine, deduc me in iustítia tua propter inimícos meos, * dírige in conspéctu meo viam tuam. ;Seigneur, conduis-moi, dans ta justice, à cause de mes ennemis aplanis ta voie sous mes pas. 
"Quóniam non est in ore eórum véritas, * cor eórum fóvea; ";"Car il n'y a point de sincérité dans leur bouche ; leur coeur n'est que malice ; "
sepúlcrum patens est guttur eórum, * mólliunt línguas suas.;leur gosier est un sépulcre ouvert, leur langue se fait caressante. 
Et omnes, qui sperant in te, læténtur, * in ætérnum exsúltent.;"Alors se réjouiront tous ceux qui se confient en toi; ils seront dans une perpétuelle allégresse,"
"Obumbrábis eis, et gloriabúntur in te, * qui díligunt nomen tuum;";"et tu les protégeras ; ils se livreront à de joyeux transports, ceux qui aiment ton nom. "
quóniam tu benedíces iusto, Dómine, * quasi scuto, bona voluntáte coronábis eum.;"Car tu bénis le juste, le Seigneur ; tu l'entoures de bienveillance comme d'un bouclier. "



