II;II
;
;
;
Ego autem semper sperábo * et adíciam super omnem laudem tuam.;"Pour moi, j'espérerai toujours ; toutes tes louanges, j'en ajouterai de nouvelles."
Os meum annuntiábit iustítiam tuam, tota die salutáre tuum: * quæ dinumeráre nescívi.;"Ma bouche publiera ta justice, tout le jour tes faveurs ; car je n'en connais pas le nombre."
"Véniam ad poténtias Dómini; * Dómine, memorábor iustítiæ tuæ solíus.";"Je dirai tes oeuvres puissantes, Seigneur le Seigneur; je rappellerai ta justice, la tienne seule."
"Deus, docuísti me a iuventúte mea; * et usque nunc annuntiábo mirabília tua.";O Dieu, tu m'as instruit dés ma jeunesse, et jusqu'à ce jour je proclame tes merveilles.
Et usque in senéctam et sénium, * Deus, ne derelínquas me,;Jusqu'au jour de la vieillesse et des cheveux blancs, O Dieu, ne m'abandonne pas,
donec annúntiem bráchium tuum * generatióni omni, quæ ventúra est.;afin que je fasse connaître ta force à la génération présente, ta puissance à la génération future.
Poténtia tua et iustítia tua, Deus, usque in altíssima, qui fecísti magnália: * Deus, quis símilis tibi?;Ta justice, ô Dieu, atteint jusqu'au ciel, toi qui accomplis de grandes choses, - ô Dieu, qui est semblable à toi?
"Quantas ostendísti mihi tribulatiónes multas et malas; íterum vivificásti me * et de abyssis terræ íterum reduxísti me.";Toi qui nous a causé des épreuves nombreuses et terribles. Mais tu nous rendras la vie, et des abîmes de la terre tu nous feras remonter.
Multiplicábis magnitúdinem meam * et convérsus consoláberis me.;Tu relèveras ma grandeur, et de nouveau tu me consoleras.
"Nam et ego confitébor tibi, in psaltério veritátem tuam, Deus meus; * psallam tibi in cíthara, Sanctus Israel.";Et je te louerai au son du luth, Je chanterai ta fidélité, ô mon Dieu, je te chanterai des psaumes sur le cithare, Saint d'Israël.
"Exsultábunt lábia mea, cum cantávero tibi, * et ánima mea, quam redemísti;";L'allégresse sera sur mes lèvres, quand je te chanterai, et dans mon âme, que tu as délivrée.
sed et língua mea tota die meditábitur iustítiam tuam, * cum confúsi et revériti fúerint, qui quærunt mala mihi.;Et ma langue chaque jour publiera ta justice, car ils seront confus et ils rougiront, ceux qui cherchent ma perte.
