Psalmus 7 - Divisio;Psaume 7 - Division
;
;
;
Adiutórium meum apud Deum, * qui salvos facit rectos corde. ;Mon bouclier est en Dieu, qui sauve les hommes au coeur droit. 
Deus iudex iustus, * fortis, iráscens per síngulos dies.;"Dieu est un juste juge ; tous les jours, le Tout-puissant fait entendre ses menaces. "
Nonne íterum gládium suum exácuit, * arcum suum teténdit et parávit illum? ;"Certes, de nouveau il aiguise son glaive, il bande son arc et il vise ; "
Et parávit sibi vasa mortis, * sagíttas suas ardéntes effécit.;Il dirige sur lui des traits meurtriers, il rend ses flèches brûlantes. 
"Ecce partúriit iniustítiam, * concépit dolórem et péperit iniquitátem;";Voici le méchant en travail de l'iniquité : il a conçu le malheur et il enfante le mensonge. 
lacum apéruit et effódit eum * et íncidit in fóveam, quam fecit. ;Il ouvre une fosse, il la creuse, et il tombe dans l'abîme qu'il préparait. 
Convertétur dolor eius in caput eius, * et in vérticem ipsíus iníquitas eius descéndet. ;Son iniquité retombe sur sa tête, et sa violence redescend sur son front.
Confitébor Dómino secúndum iustítiam eius * et psallam nómini Dómini Altíssimi.;Je louerai le Seigneur pour sa justice, je chanterai le nom du Seigneur, le Très-Haut. 
