Psalmus 81 ( 82);Psaume 81 ( 82)
Contra iudices iniquos;Contre les jugements iniques
Nolite ante tempus quidquam iudicare, quoadusque veniat Dominus (1 Cor 4, 5);Ne jugez de rien avant le temps jusqu'à ce que vienne le Seigneur (1 Cor 4, 5).
;
Deus stetit in concílio divíno, * in médio deórum iúdicat.;"Dieu se tient dans l'assemblée du Tout-puissant ; au milieu des dieux il rend son arrêt : "
«Usquequo iudicábitis iníque * et fácies peccatórum sumétis?;""" Jusques à quand jugerez-vous injustement, et prendrez-vous parti pour les méchants?"
Iudicáte egéno et pupíllo, * húmilem et páuperem iustificáte. ;""" Rendez justice au faible et à l'orphelin, faites droit au malheureux et au pauvre, "
Erípite páuperem * et egénum de manu peccatóris liberáte» .; sauvez le misérable et l'indigent, délivrez-les de la main des méchants. 
"Nesciérunt, neque intellexérunt,  in ténebris ámbulant; * movebúntur ómnia fundaménta terræ. ";""" Ils n'ont ni savoir ni intelligence, ils marchent dans les ténèbres ; tous les fondements de la terre sont ébranlés. "
Ego dixi: «Dii estis * et fílii Excélsi omnes» .;""" J'ai dit : Vous êtes des dieux, vous êtes tous les fils du Très-Haut. "
Vos autem sicut hómines moriémini * et sicut unus de princípibus cadétis.;"Cependant, vous mourrez comme des hommes, vous tomberez comme le premier venu des princes. "" "
Surge, Deus, iúdica terram, * quóniam tu hereditábis in ómnibus géntibus.;Lève-toi, ô Dieu, juge la terre, car toutes les nations t'appartiennent.
