Psalmus 83 (84) ;Psaume 83 (84) 
Desiderium templi Domini ;Désir du temple de Dieu
Non habemus hic manentem civitatem, sed futuram inquirimus (Hebr 13, 14).;Nous n’avons pas ici bas de cité permanentemais nous cherchons celle qui est à venir (Hebr 13, 14).

Quam dilécta tabernácula tua, Dómine virtútum! * Concupíscit et déficit ánima mea in átria Dómini;"Que ta demeure est aimable, Seigneur des armées ! Mon âme s'épuise en soupirant sur les parvis du Seigneur; "
Cor meum et caro mea * exsultavérunt in Deum vivum.;mon coeur et ma chair tressaillent vers le Dieu vivant. 
Etenim passer invénit sibi domum, et turtur nidum sibi, ubi ponat pullos suos: * altária tua, Dómine virtútum, rex meus et Deus meus.;Le passereau même trouve une demeure, et l'hirondelle un nid où elle repose ses petits : Tes autels, Seigneur des armées, mon roi et mon Dieu ! 
Beáti, qui hábitant in domo tua: * in perpétuum laudábunt te.;Heureux ceux qui habitent ta maison ! Ils peuvent te louer encore.
Beátus vir, cuius est auxílium abs te, * ascensiónes in corde suo dispósuit.;"Heureux les hommes qui ont en toi leur force ; ils ne pensent qu'aux saintes montées. "
Transeúntes per vallem sitiéntem in fontem ponent eam, * étenim benedictiónibus véstiet eam plúvia matutína.;Lorsqu'ils traversent la vallée des Larmes ils la changent en un lieu plein de sources, et la pluie d'automne la couvre aussi de bénédictions. 
Ibunt de virtúte in virtútem, * vidébitur Deus deórum in Sion.;Pendant la marche s'accroît la vigueur, et ils paraissent devant Dieu à Sion : 
"Dómine Deus virtútum, exáudi oratiónem meam; * áuribus pércipe, Deus Iacob. ";""" Seigneur, Dieu des armées, disent-ils, écoute ma prière ; prête l'oreille, Dieu de Jacob."""
Protéctor noster áspice, Deus, * et réspice in fáciem christi tui.;Toi qui es notre bouclier, vois, ô Dieu, et regarde la face de ton Oint ! 
Quia mélior est dies una in átriis tuis super mília, elégi ad limen esse in domo Dei mei * magis quam habitáre in tabernáculis peccatórum.;"Car un jour dans tes parvis vaut mieux que mille; je préfère me tenir sur 1e seuil de la maison de mon Dieu; plutôt que d'habiter sous les tentes des pécheurs. "
"Quia sol et scutum est Dóminus Deus, grátiam et glóriam dabit Dóminus; * non privábit bonis eos, qui ámbulant in innocéntia.";"Car le Seigneur Dieu est un soleil et un bouclier; Le Seigneur donne la grâce et la gloire, il ne refuse aucun bien à ceux qui marchent dans l'innocence. "
Dómine virtútum, * beátus homo, qui sperat in te.;le Seigneur des armées, heureux celui qui se confie en toi !
