Psalmus 90 (91) ;PSAUME 90
In protectione Altissimi;Sous la protection du Très Haut
Ecce dedi vobis potestatem calcandi supra serpentes et scorpiones (Lc 10, 19).;Voici que je vous donne le pouvoir de piétiner serpents et scorpions (Lc 10, 19).
;
Qui hábitat in protectióne Altíssimi, * sub umbra Omnipoténtis commorábitur. ;Celui qui habite sous l'assistance du Très-Haut demeurera sous la protection du Dieu du Ciel.
Dicet Dómino: + «Refúgium meum et fortitúdo mea, * Deus meus, sperábo in eum».;"Il dira au Seigneur:  mon défenseur et mon refuge. Il est mon Dieu;  j'espérerai en Lui."
Quóniam ipse liberábit te de láqueo venántium * et a verbo malígno. ;Car c'est Lui qui m'a délivré du piège du chasseur, et de la parole âpre et piquante.
"Alis suis obumbrábit tibi, + et sub pennas eius confúgies; * scutum et loríca véritas eius. ";Il te mettra à l'ombre sous Ses épaules, et sous Ses ailes tu seras plein d'espoir. Sa vérité t'environnera comme un bouclier
Non timébis a timóre noctúrno, a sagítta volánte in die, + a peste perambulánte in ténebris, * ab extermínio vastánte in merídie.;Tu ne craindras pas les frayeurs de la nuit, ni la flèche qui vole pendant le jour, ni les maux qui s'avancent dans les ténèbres, ni les attaques du démon de midi.
"Cadent a látere tuo mille + et decem mília a dextris tuis; * ad te autem non appropinquábit. ";"Mille tomberont à ton côté, et dix mille à ta droite; mais la mort n'approchera pas de toi."
Verúmtamen óculis tuis considerábis, * et retributiónem peccatórum vidébis. ;Et même tu contempleras de tes yeux, et tu verras le châtiment des pécheurs.
Quóniam tu es, Dómine, refúgium meum. * Altíssimum posuísti habitáculum tuum.;Car tu as dit:  Tu es, Seigneur, mon espérance. Tu as fait du Très-Haut ton refuge.
Non accédet ad te malum, * et flagéllum non appropinquábit tabernáculo tuo, ;Le mal ne viendra pas jusqu'à toi, et les fléaux ne s'approcheront pas de ta tente.
quóniam ángelis suis mandábit de te, * ut custódiant te in ómnibus viis tuis.;Car Il a commandé pour toi à Ses Anges de te garder dans toutes tes voies.
In mánibus portábunt te, * ne forte offéndas ad lápidem pedem tuum. ;Ils te porteront dans leurs mains, de peur que tu heurtes le pied contre la pierre.
Super áspidem et basilíscum ambulábis * et conculcábis leónem et dracónem.;Tu marcheras sur l'aspic et sur le basilic, et tu fouleras aux pieds le lion et le dragon.
"Quóniam mihi adhæsit, liberábo eum; * suscípiam eum, quóniam cognóvit nomen meum. ";"Parce qu'il a espéré en Moi, Je le délivrerai; Je le protégerai, parce qu'il a connu Mon Nom. *"
"Clamábit ad me, et ego exáudiam eum; + cum ipso sum in tribulatióne, * erípiam eum et glorificábo eum. ";"Il criera vers Moi, et Je l'exaucerai; Je suis avec lui dans la tribulation;  Je le sauverai et Je le glorifierai."
Longitúdine diérum replébo eum * et osténdam illi salutáre meum.; Je le comblerai de jours, et Je lui ferai voir Mon salut.
