Psalmus 9A (9) - Divisio;Psaume 9A (9) - Division
;
;
;
"Dominus autem in aeternum sedebit, * paravit in iudicium thronum suum;";Mais le Seigneur siège à jamais, il a dressé son trône pour le jugement.
et ipse iudicabit orbem terrae in iustitia, * iudicabit populos in aequitate.;Il juge le monde avec justice, il juge les peuples avec droiture.
Et erit Dominus refugium oppresso, * refugium in opportunitatibus, in tribulatione.;Et le Seigneur est un refuge pour l'opprimé, un refuge au temps de la détresse.
Et sperent in te, qui noverunt nomen tuum, * quoniam non dereliquisti quaerentes te, Domine.;"En toi se confient tous ceux qui connaissent ton nom; car tu ne délaisses pas ceux qui te cherchent, seigneur."
"Psallite Domino, qui habitat in Sion; * annuntiate inter gentes studia eius.";Chantez au Seigneur, qui réside en Sion, publiez parmi les peuples ses hauts faits.
Quoniam requirens sanguinem recordatus est eorum, * non est oblitus clamorem pauperum.;Car celui qui redemande le sang versé s'en est souvenu, il n'a point oublié le cri des affligés.
