Psalmus 9A (9) - Divisio;Psaume 9A (9) - Division
;
;
;
"Miserere mei, Domine; + vide afflictionem meam de inimicis meis, * qui exaltas me de portis mortis,";" Aie pitié de moi, Seigneur, disaient-ils; vois l'affliction où m'ont réduit mes ennemis, toi qui me retires des portes de la mort,
"
ut annuntiem omnes laudationes tuas in portis filiae Sion, * exsultem in salutari tuo.;afin que je puisse raconter toutes les louanges, aux portes de la fille de Sion, tressaillir de joie à cause de ton salut. 
"Infixae sunt gentes in fovea, quam fecerunt; + in laqueo isto, quem absconderunt, * comprehensus est pes eorum.";Les nations sont tombées dans la fosse qu'elles ont creusée, dans le lacet qu'elles ont caché s'est pris leur pied.
"Manifestavit se Dominus iudicium faciens; * in operibus manuum suarum comprehensus est peccator.";Le Seigneur s'est montré, il a exercé le jugement, dans l'oeuvre de ses mains il a enlacé l'impie.
Convertentur peccatores in infernum, * omnes gentes, quae obliviscuntur Deum.;Les impies retournent au schéol, toutes les nations qui oublient Dieu.
"Quoniam non in finem oblivio erit pauperis; * exspectatio pauperum non peribit in aeternum.";Car le malheureux n'est pas toujours oublié, l'espérance des affligés ne périt pas à jamais.
"Exsurge, Domine, non confortetur homo; * iudicentur gentes in conspectu tuo.";Lève-toi, Seigneur ! Que l'homme ne triomphe pas! Que les nations soient jugées devant ta face!
"Constitue, Domine, terrorem super eos; * sciant gentes quoniam homines sunt.";"Répands sur elles l'épouvante, Seigneur ; que les peuples sachent qu'ils sont des hommes!"
