Psalmus 9B (10) - Divisio;Psaume 9B (10) - Division
;
;
;
Exsurge, Domine Deus, exalta manum tuam, * ne obliviscaris pauperum.;"Lève-toi, seigneur; ô Dieu, lève ta main! N'oublie pas les affligés."
"Propter quid spernit impius Deum? * Dixit enim in corde suo: "" Non requires "".";"Pourquoi le méchant méprise-t-il Dieu? Pourquoi dit-il en son coeur: "" Tu ne punis pas? """
Vidisti: + tu laborem et dolorem consideras, * ut tradas eos in manus tuas.;"Tu as vu pourtant; car tu regardes la peine et la souffrance; pour prendre en main leur cause. "
Tibi derelictus est pauper, * orphano tu factus es adiutor.;A toi s'abandonne le malheureux, à l'orphelin ta viens en aide.
"Contere brachium peccatoris et maligni; * quaeres peccatum illius et non invenies.";"Brise le bras du méchant; l'impie, - si tu cherches son crime, ne le trouveras-tu pas?"
Dominus rex in aeternum et in saeculum saeculi: * perierunt gentes de terra illius.;Le seigneur est roi à jamais et pour l'éternité, les nations seront exterminées de sa terre.
"Desiderium pauperum exaudisti, Domine; * confirmabis cor eorum, intendes aurem tuam";"Tu as entendu le désir des affligés, Seigneur; tu affermis leur coeur, tu prêtes une oreille attentive,"
iudicare pupillo et humili, * ut non apponat ultra inducere timorem homo de terra.;pour rendre justice à l'orphelin et à l'opprimé, afin que l'homme, tiré de la terre, cesse d'inspirer l'effroi.
