1;Dominica;Le Dimanche
2;Feria II;Le Lundi
3;Feria III;Le Mardi
4;Feria IV;Le Mercredi
5;Feria V;Le Jeudi
6;Feria VI;Le Vendredi
7;Sabbatto;Le Samedi






























"Panem nostrum cotidiánum da nobis hódie; ";Donne-nous aujourd'hui notre pain quotidien,
et dimítte nobis débita nostra, ;et remets-nous nos dettes,
"sicut et nos dimíttimus debitóribus nostris; ";" comme nous les remettons nous-mêmes à nos débiteurs ;"
"et ne nos indúcas in tentatiónem; ";et ne nous abandonne pas dans l’épreuve, 
sed líbera nos a malo.;mais délivre-nous du malin.
<center><font color=red><b>Oratio</b></font></center>;<center><font color=red><b>Oraison</b></font></center>
#ORATIO;#ORATIO
<font color=red size=-1>Deinde, si præest sacerdos vel diaconus, populum dimittit, dicens:</font>;<font color=red size=-1>Ensuite, si l’office est présidé par un prêtre ou un diacre, il renvoie le peuple, en disant :</font>
Dóminus vobíscum. ;Le Seigneur soit avec vous. 
<font color=red>R/.</font> Et cum spíritu tuo.;<font color=red>R/.</font> Et avec votre Esprit.
Benedícat vos omnípotens Deus, Pater, et Fílius, et Spíritus Sanctus. ;Que le Dieu tout puissant vous bénisse, le Père, le Fils, et le Saint Esprit.
<font color=red>R/.</font> Amen.;<font color=red>R/.</font> Amen.
<font color=red size=-1>Vel alia formula benedictionis, sicut in Missa.</font>;<font color=red size=-1>Ou une autre formule de bénédiction, comme à la Messe.</font>
<font color=red size=-1>Et, si fit dimissio, sequitur invitatio:</font>;<font color=red size=-1>Et, si on fait un envoi, on poursuit par l’invitation :</font>
Ite in pace. ;Allez en Paix. 
<font color=red>R/.</font> Deo grátias.;<font color=red>R/.</font> Rendons grâces à Dieu.
<font color=red size=-1>Absente sacerdote vel diacono, et in recitatione a solo, sic concluditur:</font>;<font color=red size=-1>En l’absence d’un prêtre ou d’un diacre, et dans la récitation seul, on conclut ainsi :</font>
Dóminus nos benedícat, et ab omni malo deféndat, et ad vitam perdúcat ætérnam. <font color=red>R/.</font> Amen.;Que le Seigneur nous bénisse, et qu’il nous défende de tout mal, et nous conduise à la vie éternelle. <font color=red>R/.</font> Amen.
